name,price,img,rating,reviews,link,category,subcategory
"Memo CX07 Magnetic Cooler Fan - Powerful Cooling, Feel the Power of Ice",3150.00,https://pk-live-21.slatic.net/kf/Sde028a5e7f9847dc9d632fae91a9c5f5J.jpg,N/A,,//www.daraz.pk/products/cx07-i502488422-s2401210166.html?search=1,Electronic Accessories,Computer & Laptops
Cabinet 25 Plastic Draw Box Cabinet 25 Box Plastic Electronics Accessories Parts Stoarge Cabinets Small Parts Organizer Jewelry Box,1549.00,https://static-01.daraz.pk/p/3822a2b7bdc46221fb74d56a920d79e2.jpg,4.5,,//www.daraz.pk/products/25-25-i163148702-s1330450089.html?search=1,Electronic Accessories,Computer & Laptops
MEMO CX04 Magnetic Cooling Fan Phone Radiator Phone Cooling Fan Case Cold Wind Handle Fan for PUBG Phone Cooler Phone Cooling Fan Case,1999.00,https://static-01.daraz.pk/p/52eee6a729be1f8dce2a07f4869b9679.jpg,3.7,,//www.daraz.pk/products/cx04-pubg-i424279121-s2010268993.html?search=1,Electronic Accessories,Computer & Laptops
Transcend JetRam 16GB DDR4 3200Mhz Unbuffered Long-DIMM Desktop Memory RAM,9799.00,https://static-01.daraz.pk/p/3f737f4b2c0e43672f4389fd9f3ac22b.jpg,5,,//www.daraz.pk/products/16gb-ddr4-3200mhz-i195846380-s1390626778.html?search=1,Electronic Accessories,Computer & Laptops
M.2Pro 2280 NVMe Heatsink M.2Pro SSD Heatsink Thermal Pad Aluminum Heat Dissipation Band Thermal Pad Durable Easy Install for M2 2280 Ssd A,1630.00,https://static-01.daraz.pk/p/7921c2c6dbec5bc8ac42874b5ec6bd3d.png,2,,//www.daraz.pk/products/m2pro-2280-nvme-m2pro-ssd-m2-2280-ssd-a-i433082615-s2073100309.html?search=1,Electronic Accessories,Computer & Laptops
Intel HSF Heat Sink FAN (Stock Cooler) for LGA 1150 1151 1155 1156 Socket,1499.00,https://static-01.daraz.pk/p/8cdb9ae6c1da5a95e6fc81e4c7c39477.jpg,N/A,,//www.daraz.pk/products/hsf-lga-1150-1151-i392289890-s1916186384.html?search=1,Electronic Accessories,Computer & Laptops
Microchip Pickit 3 Pic Kit 3 Programmer Pickit 3 Debugger,9699.00,https://static-01.daraz.pk/p/bdf556097739ddc4ce0d6943c9a036dc.jpg,5,,//www.daraz.pk/products/3-pic-3-3-i135055861-s1295386681.html?search=1,Electronic Accessories,Computer & Laptops
MEMO CX04 Magnetic Cooling Fan Phone Radiator Phone Cooling Fan Case Cold Wind Handle Fan for PUBG Phone Cooler Phone Cooling Fan Mobile Radiator,1999.00,https://static-01.daraz.pk/p/da9184e1479820127c776ea44d055bc0.jpg,3,,//www.daraz.pk/products/cx04-pubg-i429902048-s2047240804.html?search=1,Electronic Accessories,Computer & Laptops
Arduino UNO R3 Starter Learning Kit for Beginners,7800.00,https://static-01.daraz.pk/p/ad56bd7155e957a1276741b37ac5c2f1.png,N/A,,//www.daraz.pk/products/uno-r3-i501163798-s2395844781.html?search=1,Electronic Accessories,Computer & Laptops
Transcend JetRam 8GB DDR4 3200Mhz Unbuffered Long-DIMM Desktop Memory RAM,6199.00,https://static-01.daraz.pk/p/a6bc1923181cdc08621d32268ba23f53.jpg,N/A,,//www.daraz.pk/products/8gb-ddr4-3200mhz-i195858064-s1390640337.html?search=1,Electronic Accessories,Computer & Laptops
MEMO Phone Radiator Phone Cooling Fan Case Cold Wind Handle Fan DL05 for PUBG Phone Cooler Phone Cooling Fan Case,2399.00,https://static-01.daraz.pk/p/7861e6afbe35fa93f7ef299bf0664e7c.png,4.6,,//www.daraz.pk/products/dl05-pubg-i220520109-s1434161901.html?search=1,Electronic Accessories,Computer & Laptops
