name,price,img,rating,reviews,link,category,subcategory
DERMACOS 5 STEP FACIAL KIT 200GM,2999.00,https://pk-live-21.slatic.net/kf/Sd9a9df46a7734b0089adbf44667ba7d79.jpg,5,No reviews available,//www.daraz.pk/products/dermacos-5-step-facial-kit-200gm-i431086812-s2172432398.html?search=1,Health & Beauty,skincare
Neuage  Face Wash | 60ml,999.00,https://static-01.daraz.pk/p/f6ddb8a3c6b98524a672f1c3ce86cc79.jpg,4.4,No reviews available,//www.daraz.pk/products/60-i452444572-s2148908223.html?search=1,Health & Beauty,skincare
DERMACOS 5 STEP FACIAL KIT 200GM,2999.00,https://pk-live-21.slatic.net/kf/Sd9a9df46a7734b0089adbf44667ba7d79.jpg,5,No reviews available,//www.daraz.pk/products/dermacos-5-step-facial-kit-200gm-i431086812-s2172432398.html?search=1,Health & Beauty,skincare
Neuage  Face Wash | 60ml,999.00,https://static-01.daraz.pk/p/f6ddb8a3c6b98524a672f1c3ce86cc79.jpg,4.4,No reviews available,//www.daraz.pk/products/60-i452444572-s2148908223.html?search=1,Health & Beauty,skincare
The Health Healer Night Cream For All Skins Types For All Ages Girls,799.00,https://pk-live-21.slatic.net/kf/S795cddfccc954620b00319c3e79e9292N.jpg,3.5,No reviews available,//www.daraz.pk/products/-i499467616-s2390502333.html?search=1,Health & Beauty,skincare
DERMACOS 5 STEP FACIAL KIT 200GM,2999.00,https://pk-live-21.slatic.net/kf/Sd9a9df46a7734b0089adbf44667ba7d79.jpg,5,No reviews available,//www.daraz.pk/products/dermacos-5-step-facial-kit-200gm-i431086812-s2172432398.html?search=1,Health & Beauty,skincare
Neuage  Face Wash | 60ml,999.00,https://static-01.daraz.pk/p/f6ddb8a3c6b98524a672f1c3ce86cc79.jpg,4.4,No reviews available,//www.daraz.pk/products/60-i452444572-s2148908223.html?search=1,Health & Beauty,skincare
DERMACOS 5 STEP FACIAL KIT 200GM,2999.00,https://pk-live-21.slatic.net/kf/Sd9a9df46a7734b0089adbf44667ba7d79.jpg,5,No reviews available,//www.daraz.pk/products/dermacos-5-step-facial-kit-200gm-i431086812-s2172432398.html?search=1,Health & Beauty,skincare
Neuage  Face Wash | 60ml,999.00,https://static-01.daraz.pk/p/f6ddb8a3c6b98524a672f1c3ce86cc79.jpg,4.4,No reviews available,//www.daraz.pk/products/60-i452444572-s2148908223.html?search=1,Health & Beauty,skincare
DERMACOS 5 STEP FACIAL KIT 200GM,2999.00,https://pk-live-21.slatic.net/kf/Sd9a9df46a7734b0089adbf44667ba7d79.jpg,5,No reviews available,//www.daraz.pk/products/dermacos-5-step-facial-kit-200gm-i431086812-s2172432398.html?search=1,Health & Beauty,skincare
Neuage  Face Wash | 60ml,999.00,https://static-01.daraz.pk/p/f6ddb8a3c6b98524a672f1c3ce86cc79.jpg,4.4,No reviews available,//www.daraz.pk/products/60-i452444572-s2148908223.html?search=1,Health & Beauty,skincare
The Health Healer Night Cream For All Skins Types For All Ages Girls,799.00,https://pk-live-21.slatic.net/kf/S795cddfccc954620b00319c3e79e9292N.jpg,3.5,No reviews available,//www.daraz.pk/products/-i499467616-s2390502333.html?search=1,Health & Beauty,skincare
