name,price,img,rating,reviews_count,link,category,subcategory
"3-PIECE car seat with shoulder pad set, baby carriage accessories, suitable for all car seats, baby carriage soft seat belt cove",939,https://pk-live-21.slatic.net/kf/S32b1af24fdc24d579912b0e397ef6c65v.jpg,5.0,1,N/A,mother & baby,baby-gear
"KeaBabies Baby Wrap Carrier, Nursing Cover and Car Seat Cover for Babies - All in 1 Original Breathable Baby Sling, Lightweight,Hands Free Baby Carrier Sling - Baby Car Seat Cover - Baby Carrier Wrap",1099,https://static-01.daraz.pk/p/262aa0384cc8b7d75563ddf8168f566f.png,,,N/A,mother & baby,baby-gear
Baby Stroller Meal Tray - Universal Dining Accessory for Prams & Pushchairs - Eco-Friendly ABS，Sturdy & Safe for All Seasons,3293,https://pk-live-21.slatic.net/kf/Scc2ba874b6d34faeb784e91d6d7ac8ed9.png,,,N/A,mother & baby,baby-gear
Tinnies All-In-One Baby Khaki Playpen with Airy Mesh On Sides,32000,https://static-01.daraz.pk/p/67eda28fb273ad208b8bc58234ee1549.jpg,,,N/A,mother & baby,baby-gear
Tinnies All-In-One Black Playpen with Newborn Bassinet and Changing Station,32000,https://static-01.daraz.pk/p/5c6fcdda1f918349261b0c51a8ab5700.jpg,,,N/A,mother & baby,baby-gear
Tinnies All-In-One Grey Playpen with Rocker,28000,https://static-01.daraz.pk/p/19a38e2aab137d08f98ed80b8eee445e.jpg,,,N/A,mother & baby,baby-gear
"Baby Walker, Baby Walker Foldable, Multi-Function Anti-Rollover Toddler Walker, Suitable for All terrains for Baby Boys and Baby Girls 6-18 Months… (Grey and white)",17000,https://pk-live-21.slatic.net/kf/S1bb0ca83b7fc4a848207890c8b371069N.jpg,,,N/A,mother & baby,baby-gear
Student School Bag Capibala Plush Capybara Bag Casual All-match Fur Bag Large Capacity Backpack School Bag Mochila,761,https://pk-live-21.slatic.net/kf/Sf1985233fed9411b80b53c4fcb9b4d259.jpg,,,N/A,mother & baby,baby-gear
Tinnies All-In-One Baby Bee Playpen with Sleek Design,26995,https://static-01.daraz.pk/p/c882d4eae9b13c80d5fa0c45db7634e6.jpg,,,N/A,mother & baby,baby-gear
Newborn Baby Fancy Basket 0 to 6 months | Baby Carriers | All Colors Availability | Washable and Reusable,5500,https://static-01.daraz.pk/p/7d63a05967bdcd621523918fb86687fd.jpg,5.0,2,N/A,mother & baby,baby-gear
Kids Stroller Cushion Comfortable Soft Available in All Seasons Seat Pads Cart Mat for Car Stroller Pushchair Pram Accessory,2687,https://pk-live-21.slatic.net/kf/S2f81640c50be47a1957404d95eadb34dA.jpg,,,N/A,mother & baby,baby-gear
"Mummy bag , Comfortable bag For All Purpose",1299,https://static-01.daraz.pk/p/388aba0f947943db2ac4dd9202513cfa.jpg,,,N/A,mother & baby,baby-gear
Tinnies All-In-One Baby Bee Playpen with Sleek Design,28000,https://static-01.daraz.pk/p/7d920824dbf7310340d38accfa4d2bf5.jpg,5.0,1,N/A,mother & baby,baby-gear
