name,price,img,rating,reviews_count,link,category,subcategory
"New Electric Spin Scrubber and Powerful Cleaning Brush with Long Handle and Rechargeable Battery Includes 3 Replaceable Brush Heads for Versatile Cleaning Perfect for Bathroom, Kitchen, and Floor Tiles Easy-to-Use and Adaptable for All Your Cleaning Needs",4199,https://static-01.daraz.pk/p/db0db9c54e7dd3d71304be1e781f2956.jpg,,,N/A,home & decor,bath
100% Cotton Hair Dryer Cap Towel Wrap | Quick Dry Turban for All Hair Types,250,https://static-01.daraz.pk/p/bb70658e5f61d27d172534b30ca166e8.jpg,,,N/A,home & decor,bath
"2PC All Rounded Children U Shape Toothbrush, Kids U Shaped Toothbrush, U Shaped Toothbrush For Kids 2-12 Years Old",825,https://pk-live-21.slatic.net/kf/S061a49f415f541d5b52258b94fc96b62G.jpg,,,N/A,home & decor,bath
"Long Kitchen Mat, Kitchen Floor Matt (All Prints in Picture Available)",1700,https://static-01.daraz.pk/p/a9dd91ba9ddf433abbf580781e1aa3b3.jpg,5.0,1,N/A,home & decor,bath
Toothpaste Dispenser Wall Mounted Toothpaste Squeezer with Cup All-in-1 Toothbrush Holder,3610,https://pk-live-21.slatic.net/kf/S1a93d32f221e459488fcbc03dca5560cj.jpg,,,N/A,home & decor,bath
Golf Toilet Brush High Quality Save Space Effective Cleaning Durable Stylish Design Suitable For All Toilet Types Toilet Brush,3489,https://static-01.daraz.pk/p/0b054dd727937b05c7b3f95980237999.jpg,,,N/A,home & decor,bath
"Long Kitchen Mat, Kitchen Floor Matt (All Prints in Picture Available).",1700,https://static-01.daraz.pk/p/ebd4b90f5e61dfe86ad01d26c9993ec2.jpg,,,N/A,home & decor,bath
"4 Pcs Bath Towel Set GM, 1 Face Towel,1 Hand Towel, 1 Bath Towel, Extra Soft Premium Towels All - 20 x 40 inches",1300,https://static-01.daraz.pk/p/bb30bbbb99bcac162bb4f03cc3ca7db5.jpg,5.0,2,N/A,home & decor,bath
"Pack of 6 (12*12 Inch) plain soft cotton towels for washroom, kitchen & spa in all colors",249,https://static-01.daraz.pk/p/7565e1724661e569b82169cd77abdb77.jpg,,,N/A,home & decor,bath
BEAUTIFULL P.B.C PLASTIC DOOR WASHROOM. WASHROOM DOOR BEAUTY DESIN AND WAYER PROOF. MANFACER HAVEY PLASTIC. ALL SIZE AVELIBAL,11999,https://pk-live-21.slatic.net/kf/S3c20a12dc0284ab9a95cdf959f6450f9a.jpg,,,N/A,home & decor,bath
Fancy Bath Towel - Large Size - High Quality 100% Cotton - 20 x 36 inches All colors,500,https://static-01.daraz.pk/p/407c22554b439540bb403603da4518f7.jpg,4.2,10,N/A,home & decor,bath
Washcloths Premium Cotton Face Cloths 6 Pcs All Purpose Wash Cloths Bath Towel Kitchen Towel and Gym Towel Machine Washable 30 x 30 Cm,299,https://static-01.daraz.pk/p/addc411ad872de6cf58d24aba0950c30.jpg,,,N/A,home & decor,bath
Washcloths Premium Cotton Face Cloths 6 Pcs All Purpose Wash Cloths Bath Towel Kitchen Towel and Gym Towel Machine Washable 30 x 30 Cm,333,https://static-01.daraz.pk/p/addc411ad872de6cf58d24aba0950c30.jpg,,,N/A,home & decor,bath
"Pack of 6 (12*12 Inch) plain soft cotton towels for washroom, kitchen & spa in all colors",177,https://static-01.daraz.pk/p/b410b3589cd7cd4e65f161bd66b68341.jpg,4.4,5,N/A,home & decor,bath
"All-season pink chenille kitchen bathroom carpet, non-slip absorbent wear-resistant floor mat",3733,https://static-01.daraz.pk/p/7df9b0395e36a00918794846671946fb.jpg,,,N/A,home & decor,bath
Fancy Bath Towel - Large Size - High Quality 100% Cotton - 20 x 36 inches All colors,700,https://static-01.daraz.pk/p/407c22554b439540bb403603da4518f7.jpg,,,N/A,home & decor,bath
"Pack of 6 (12*12 Inch) plain soft cotton towels for washroom, kitchen & spa in all colors",185,https://static-01.daraz.pk/p/a9a8251f63f08da9ba00037ea19c3cb7.jpg,3.9473684210526314,19,N/A,home & decor,bath
All-New Double Layers Wheat Straw Wall Mounted Bathroom Soap Dishes Drain Plate Holder Rack,449,https://static-01.daraz.pk/p/f09c61cc36481f4704cc82b70ea7baed.jpg,5.0,1,N/A,home & decor,bath
Best Hair Drying Cap Towel Hair Wrap Towel Quick Dry Cap Towel 100% Cotton Turban Style Hair Wrap Cap Towel With Button Supper Absorbent Quick Dry Best for and All Commercial Parlor use Multi Color,199,https://static-01.daraz.pk/p/7208c8254e192a5939b73160899bac36.jpg,2.0,1,N/A,home & decor,bath
Sea Wool Sponge All Natural Honeycomb Renewable Sea Sponge Dead Skin Remover,478,https://static-01.daraz.pk/p/1716b8c2bf1d6aed1cd3aef96dbc0e31.jpg,,,N/A,home & decor,bath
"Pack of 6 (12*12 Inch) plain soft cotton towels for washroom, kitchen & spa in all colors",185,https://static-01.daraz.pk/p/6628de585a3dfbdc9297c2686fbbcf64.jpg,5.0,1,N/A,home & decor,bath
"Creative Groove Cleaning Brush,Quickly Clean All Corners And Gaps,Detachable Door Window",350,https://pk-live-21.slatic.net/kf/S8382e4b80a3c4759b62bf107aaa42ef4k.jpg,,,N/A,home & decor,bath
Hair drying cap towel/wrap Quick Dry Cap Turban Style Hair Wrap Cap Towel With Button Supper Absorbent Quick Dry Best for Specially Sauna Bath and All Commercial Parlor use,299,https://static-01.daraz.pk/p/c2fa93b308fb4264506d4676df260f5a.png,5.0,1,N/A,home & decor,bath
Nizwa Face Wash For All Skin Types 100gm (Available In Different Variants),349,https://pk-live-21.slatic.net/kf/Sb5b546f3f0b943c8b221f3d9342ce51bk.jpg,5.0,1,N/A,home & decor,bath
Best Hair Drying Cap Towel Hair Wrap Towel Quick Dry Cap Towel 100% Cotton Turban Style Hair Wrap Cap Towel With Button Supper Absorbent Quick Dry Best for Specially Sauna Bath and All Commercial Parlor use Multi Color,120,https://static-01.daraz.pk/p/ecec628d83ec2a996a121735a667b9f6.jpg,4.555555555555555,9,N/A,home & decor,bath
Best Hair Drying Cap Towel Hair Wrap Towel Quick Dry Cap Towel 100% Cotton Turban Style Hair Wrap Cap Towel With Button Supper Absorbent Quick Dry Best for and All Commercial Parlor use Multi Color,239,https://static-01.daraz.pk/p/1c8e06923b731138b92894f198f7b25e.jpg,,,N/A,home & decor,bath
"The wall-mounted shower gel storage, free punch toiletry stand, and bathroom bookcase were all imported in a Japanese-inspired design. A Shelving Unit in the Corner",410,https://static-01.daraz.pk/p/fbc73a38476b20600d2925c2edca824b.jpg,4.181818181818182,11,N/A,home & decor,bath
