name,price,img,rating,reviews_count,link,category,subcategory
Pack of 3 Shorts Multicolor Above Knee Summer Cotton Shorts for Kids Boys 2-11Years,999,https://pk-live-21.slatic.net/kf/S7a519b1cb9914fcdad6e524b905635fdi.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
New Official Shirt For Men | Cricket All Teams,1175,https://pk-live-21.slatic.net/kf/S70ec1a7323424431a8286919390e96c8Y.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
Pack of 3 Shorts Multicolor Above Knee Summer Cotton Shorts for Kids Boys 2-11Years,999,https://pk-live-21.slatic.net/kf/S7a519b1cb9914fcdad6e524b905635fdi.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
"Denim Jeans for Men - Stay Stylish with Our Pack of Five Denim Jeans: Fashionable, Trendy, Premium Quality, and Finely Stitched"" Jeans Pant For Men All Season Jeans For Boys Dark Blue Denim Jeans for Man Stretchable Narrow Denim Pant Export Quality Jeans",1299,https://static-01.daraz.pk/p/59c7bf4c22c4b928f065c4822995e386.jpg,,,N/A,Mens Fashion,boys-clothing
Imported Soft Cotton Jeans Pent For Mens In Navy Blue Color - Stylish & Premiun Quality Stuff  - All Seasons Comfortable Cotton Jeans For Men And Boys,1600,https://pk-live-21.slatic.net/kf/S83e0ca6601644d248a89f97ba8420ee4O.jpg,,,N/A,Mens Fashion,boys-clothing
New Official Shirt For Men | Cricket All Teams,1175,https://pk-live-21.slatic.net/kf/S70ec1a7323424431a8286919390e96c8Y.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
"Denim Jeans for Men - Stay Stylish with Our Pack of Five Denim Jeans: Fashionable, Trendy, Premium Quality, and Finely Stitched"" Jeans Pant For Men All Season Jeans For Boys Dark Blue Denim Jeans for Man Stretchable Narrow Denim Pant Export Quality Jeans",1299,https://static-01.daraz.pk/p/59c7bf4c22c4b928f065c4822995e386.jpg,,,N/A,Mens Fashion,boys-clothing
Imported Soft Cotton Jeans Pent For Mens In Navy Blue Color - Stylish & Premiun Quality Stuff  - All Seasons Comfortable Cotton Jeans For Men And Boys,1600,https://pk-live-21.slatic.net/kf/S83e0ca6601644d248a89f97ba8420ee4O.jpg,,,N/A,Mens Fashion,boys-clothing
baba boys kids all colors shalwar kameez,799,https://static-01.daraz.pk/p/225b40eab2c6171d6ce9c82d08772678.png,5.0,1,N/A,Mens Fashion,boys-clothing
baba boys kids all colors shalwar kameez,799,https://static-01.daraz.pk/p/225b40eab2c6171d6ce9c82d08772678.png,5.0,1,N/A,Mens Fashion,boys-clothing
handmade woolen sweater for boys of all age,3000,https://pk-live-21.slatic.net/kf/S87c9f86f6c794a20a91a7a0697a5e298H.jpg,,,N/A,Mens Fashion,boys-clothing
【Pmwrun】Retro western style all-match lapel short-sleeved contrasting stripes short knitted T-shirt,1576,https://static-01.daraz.pk/p/b9a8a15a8bddbcf4306a7ef932be16c8.jpg,,,N/A,Mens Fashion,boys-clothing
Kids Bear Costume,3895,https://static-01.daraz.pk/p/2fd4c286b972de7abb40e486de257b5c.jpg,1.0,1,N/A,Mens Fashion,boys-clothing
Pack of 03 Top Choice for All: Men's Underwear Free Size - Shop the Best Sellers!,599,https://static-01.daraz.pk/p/e3ac0adf0333db359a6b9ad8f25e771b.jpg,,,N/A,Mens Fashion,boys-clothing
handmade woolen sweater for boys of all age,3000,https://pk-live-21.slatic.net/kf/S87c9f86f6c794a20a91a7a0697a5e298H.jpg,,,N/A,Mens Fashion,boys-clothing
【Pmwrun】Retro western style all-match lapel short-sleeved contrasting stripes short knitted T-shirt,1576,https://static-01.daraz.pk/p/b9a8a15a8bddbcf4306a7ef932be16c8.jpg,,,N/A,Mens Fashion,boys-clothing
Kids Bear Costume,3895,https://static-01.daraz.pk/p/2fd4c286b972de7abb40e486de257b5c.jpg,1.0,1,N/A,Mens Fashion,boys-clothing
Pack of 03 Top Choice for All: Men's Underwear Free Size - Shop the Best Sellers!,599,https://static-01.daraz.pk/p/e3ac0adf0333db359a6b9ad8f25e771b.jpg,,,N/A,Mens Fashion,boys-clothing
Blue Black White Stretchable Jeans Pants For Boys/Girls Soft & Comfortable Wear-All Colors Available-Pack of 1,949,https://static-01.daraz.pk/p/6468a6a7e5676dedf419bc38d108044d.jpg,4.463414634146342,39,N/A,Mens Fashion,boys-clothing
Jamawar BLACK Waist Coat with Brooch For Kids & Mens | Wedding Special | Premium Quality Waistcoat-All Size Available HereJamawar BLACK Waist Coat with Brooch For Kids & Mens | Wedding Special | Premium Quality Waistcoat-All Size Available Here,499,https://static-01.daraz.pk/p/a99ac9602ab25117c321cfaffc25f790.jpg,,,N/A,Mens Fashion,boys-clothing
AMAZON ASIA Kids Pants For Boys Jeans Plain Multiple Colors High Quality Cotton Jeans For All Season,549,https://static-01.daraz.pk/p/8c685d41c2f42e5d2fc5eb2973b2a399.jpg,,,N/A,Mens Fashion,boys-clothing
Jeans Pants Stretchable All Colours & Size,1300,https://static-01.daraz.pk/p/e57cbeb9c7fb171e1ce3f4e78afaa266.jpg,,,N/A,Mens Fashion,boys-clothing
Pack of 3 pair school uniform cotton socks for boys girl kids white black unisex mozay daily and casual use in all season,250,https://pk-live-21.slatic.net/kf/S1e350f9af2e64ddeaa9d812ec342d0736.jpg,,,N/A,Mens Fashion,boys-clothing
"Customised Picture T-shirts specifically 14 august Kids Size: 14, 16, 18, 20, 22, 24 adult available all size",800,https://static-01.daraz.pk/p/8d6f56b0129a6c02648e1d76a4cf6275.jpg,,,N/A,Mens Fashion,boys-clothing
Blue Black White Stretchable Jeans Pants For Boys/Girls Soft & Comfortable Wear-All Colors Available-Pack of 1,949,https://static-01.daraz.pk/p/6468a6a7e5676dedf419bc38d108044d.jpg,4.463414634146342,39,N/A,Mens Fashion,boys-clothing
Jamawar BLACK Waist Coat with Brooch For Kids & Mens | Wedding Special | Premium Quality Waistcoat-All Size Available HereJamawar BLACK Waist Coat with Brooch For Kids & Mens | Wedding Special | Premium Quality Waistcoat-All Size Available Here,499,https://static-01.daraz.pk/p/a99ac9602ab25117c321cfaffc25f790.jpg,,,N/A,Mens Fashion,boys-clothing
AMAZON ASIA Kids Pants For Boys Jeans Plain Multiple Colors High Quality Cotton Jeans For All Season,549,https://static-01.daraz.pk/p/8c685d41c2f42e5d2fc5eb2973b2a399.jpg,,,N/A,Mens Fashion,boys-clothing
Jeans Pants Stretchable All Colours & Size,1300,https://static-01.daraz.pk/p/e57cbeb9c7fb171e1ce3f4e78afaa266.jpg,,,N/A,Mens Fashion,boys-clothing
Pack of 3 pair school uniform cotton socks for boys girl kids white black unisex mozay daily and casual use in all season,250,https://pk-live-21.slatic.net/kf/S1e350f9af2e64ddeaa9d812ec342d0736.jpg,,,N/A,Mens Fashion,boys-clothing
"Customised Picture T-shirts specifically 14 august Kids Size: 14, 16, 18, 20, 22, 24 adult available all size",800,https://static-01.daraz.pk/p/8d6f56b0129a6c02648e1d76a4cf6275.jpg,,,N/A,Mens Fashion,boys-clothing
Mens T Shirts Summer Collection All colours are Available,899,https://pk-live-21.slatic.net/kf/S0c4def192db5433e851c85793b14d525Z.jpg,,,N/A,Mens Fashion,boys-clothing
High quality Blue Random denim jeans All seasons Fashion denim jeans pents premium jeans for boys and men | Denim jeans,1549,https://pk-live-21.slatic.net/kf/S83289c6c5419491b9f7d4070b2a543a7u.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
Handsome Goofy Hoodie,1299,https://static-01.daraz.pk/p/8506e74fcd4608be16521f066fdd93ea.jpg,,,N/A,Mens Fashion,boys-clothing
"Tshirts round neck, all articals available in all colors and sizes in Export quality, full neat and clean printing, cuting and stitching in cotton fabric",300,https://pk-live-21.slatic.net/kf/S5114ff9375974b788baecba427ece54ea.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
Mens T Shirts Summer Collection All colours are Available,899,https://pk-live-21.slatic.net/kf/S0c4def192db5433e851c85793b14d525Z.jpg,,,N/A,Mens Fashion,boys-clothing
High quality Blue Random denim jeans All seasons Fashion denim jeans pents premium jeans for boys and men | Denim jeans,1549,https://pk-live-21.slatic.net/kf/S83289c6c5419491b9f7d4070b2a543a7u.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
Handsome Goofy Hoodie,1299,https://static-01.daraz.pk/p/8506e74fcd4608be16521f066fdd93ea.jpg,,,N/A,Mens Fashion,boys-clothing
"Tshirts round neck, all articals available in all colors and sizes in Export quality, full neat and clean printing, cuting and stitching in cotton fabric",300,https://pk-live-21.slatic.net/kf/S5114ff9375974b788baecba427ece54ea.jpg,5.0,1,N/A,Mens Fashion,boys-clothing
1 - 7 years beautiful summer red spiderman dress - islamabad,1499,https://static-01.daraz.pk/p/c62cd959e428c29a86e5e2f88b822cab.jpg,4.666666666666667,1,N/A,Mens Fashion,boys-clothing
