name,price,img,rating,reviews_count,link,category,subcategory
Nibl - Granola Bars - Box of 5 (all 5 flavors included),1000,https://static-01.daraz.pk/p/3e636bf03f24db4317b6879ed2f2238b.png,5.0,1,N/A,groceries & pets ,breakfast
"Homemade Shikarpur k achar Aam chatni (Meethi) Jam, Half Kg,  Free delivery all over in Pakistan Shikarpur k achaar Shikarpuri achaar Shikarpuri chatni Ghareloo achaar",480,https://pk-live-21.slatic.net/kf/Sba1f671c300d4b6fbb0cd8ad9cdf7a754.jpg,,,N/A,groceries & pets ,breakfast
Celebration Pack – Reload Granola Bars – All Flavors (6 Bars),1100,https://static-01.daraz.pk/p/708d09974006bcdc2c4ff9368d8013d5.jpg,,,N/A,groceries & pets ,breakfast
"Refuel the energy bar No GMO - Gluten free -dairy free available in all flavours (mint , coconut chocolate chip , almond butter, peanut butter, blueberry , apple pie )",160,https://static-01.daraz.pk/p/6cd05820337886bb86d797214200229c.jpg,,,N/A,groceries & pets ,breakfast
Hunza Meadows All-Fruit Jam  440g,380,https://static-01.daraz.pk/p/146e4bc3d68a468287498944d655911d.jpg,,,N/A,groceries & pets ,breakfast
Celebration Pack – Reload Granola Bars – All Flavors (6 Bars),1080,https://static-01.daraz.pk/p/b2fd8fe7ad92241b5d5ad41b44111df3.png,4.661157024793388,121,N/A,groceries & pets ,breakfast
"BEE POLLEN, ALL-NATURAL & GLUTEN FREE  100g  BEE POLLEN, ALL-NATURAL & GLUTEN FREE  100g  BEE POLLEN, ALL-NATURAL & GLUTEN FREE  100g",799,https://static-01.daraz.pk/p/71e98a619163742c34821a5990369ad4.jpg,1.0,1,N/A,groceries & pets ,breakfast
Orgo Peanu butter all natural,750,https://static-01.daraz.pk/p/150a44c41b5b4cda4d4e37b4b3eb7fa7.jpg,,,N/A,groceries & pets ,breakfast
"Chocolate Collagen Peptide Powder with A Hint of Creamy Coconut Milk - Sweetened with Stevia - High Protein & Low Carb - Keto & Paleo Friendly - All Natural, Non GMO & Gluten Free - 1 lb 454gm",1784,https://static-01.daraz.pk/p/4c696d69cd4c9ae8c42bc1364d44925f.jpg,,,N/A,groceries & pets ,breakfast
"One in a Mill Wheat Bran | Bulk Supply of Gourmet Wheat Kernels for Baking, Toasting, Cereals, Smoothies, Muffins & Cookies | All-Natural, High Fiber Vegan, Certified Kosher | 1kg",850,https://static-01.daraz.pk/p/b84d249c1fc7d5bbe0a67a50a0903669.jpg,,,N/A,groceries & pets ,breakfast
