name,price,img,rating,reviews_count,link,category,subcategory
"Studio Backdrops Sheet (10ft x 10ft) - All Colors Available,Studio Backdrops, Photography Props, Photo Background, 10ft Backdrops, Color Variety",1399,https://pk-live-21.slatic.net/kf/S10ee523c44b149248e12f60f7130badeJ.jpg,,,N/A,Cameras,camera-accessories
Best Quality 5ftx10ft feet Green Screen Chroma Key Studio Backdrop in all colours Video Photo Background Removing Sheet non-woven fabric-Professional for Photo Studio,499,https://pk-live-21.slatic.net/kf/S0b4b004a8b184d1381d4b68762d985b7T.jpg,,,N/A,Cameras,camera-accessories
Universal 360° Mobile Phone Clip Compatible With All 1/4 Screw Cellphone Holder Mount Desk Tripod Adapter Accessories For iPhone,1192,https://pk-live-21.slatic.net/kf/S9462bd7f115744a4b195655394b75b92W.jpg,5.0,2,N/A,Cameras,camera-accessories
Neephoo NP-688 All-in-One Tripod & Selfie Stick for Effortless Content Creation,3200,https://static-01.daraz.pk/p/bd3901719f4a48826b558a8647eb1577.jpg,5.0,3,N/A,Cameras,camera-accessories
"Vlogging Kit, Video Making kit, with tripod stand, Microphone, Led Light, Mobile Holder ALL IN ONE",1450,https://pk-live-21.slatic.net/kf/S71616e8cb0c541b5ab4b0ad6020571eeQ.jpg,,,N/A,Cameras,camera-accessories
All in One Tripod Stand Plokama PK-998 with Remote,3999,https://pk-live-21.slatic.net/kf/Saca8eecb10b64d8f9775b4fa08bab90cf.jpg,,,N/A,Cameras,camera-accessories
"Bluetooth Camera Remote Wireless Shutter Selfie Button Self Timer For All Smartphones  connecting,Bluetooth supports 10 meters self control NOTE random color will be delivered",399,https://static-01.daraz.pk/p/240aafee0eca51dd755c96a772b94850.jpg,,,N/A,Cameras,camera-accessories
Selfie StickDegree Photo Holder Lengthened Tripod Live Broadcast Support All Mobile Phones Bluetooth Remote Control TikTok Shoo,1034,https://pk-live-21.slatic.net/kf/S20453c5249d64d6393cc92f9f729b3e5c.jpg,4.0,33,N/A,Cameras,camera-accessories
"Photographic Honeycomb Grid for 80cm / 31"" Octagon Umbrella Softbox Studio/Strobe Umbrella Softbox - all new",2511,https://static-01.daraz.pk/p/f4815fcf38791aa6131764dd20afb6f8.jpg,5.0,1,N/A,Cameras,camera-accessories
Godox AD600BM Witstro Manual All-In-One Outdoor Flash,115000,https://static-01.daraz.pk/p/cc11eaf8d11a76cea66d75ee87cebdac.jpg,,,N/A,Cameras,camera-accessories
"Aokicase Stand for All-New Blink Outdoor/Indoor Camera/Blink XT/XT2 Camera, Blink Mini ABS Holder, Blink XT2 Protection Frame Clamp Wall Mount Stand Accessory Rack A359",890,https://pk-live-21.slatic.net/kf/S209887c0fc204e0d93d872831c847d9dJ.jpg,5.0,1,N/A,Cameras,camera-accessories
DAHUA Original (SD-Card) 32GB for All use Specially for IMOU/DAHUA Security Camaras,1580,https://pk-live-21.slatic.net/kf/S67285f5901834144bd1ec2c72e3a0705f.jpg,5.0,1,N/A,Cameras,camera-accessories
Easy pair mini selfie bluetooth remote shutter for all smart phones,450,https://static-01.daraz.pk/p/fb79a92be0eda3480b6d6ea87b1d112e.jpg,,,N/A,Cameras,camera-accessories
360 Degree Mobile Phone Clip Compatible With All 1/4 Screw Cellphone Holder Tripod Mount Desk Tripod Adapter For iphone Samsung,783,https://pk-live-21.slatic.net/kf/S9769cc88e1d94d42be5a2232c830990e5.jpg,4.333333333333333,3,N/A,Cameras,camera-accessories
Insta 360 Bullet Time Bundle for all 360 action cameras,16000,https://static-01.daraz.pk/p/c297b8498262b074e2f6438300d9bafd.jpg,,,N/A,Cameras,camera-accessories
All In One Portable Tripod for iphone Selfie Stick With Fill Light Extendable Phone Stand for Tiktok Live BT Remote Control,1221,https://pk-live-21.slatic.net/kf/Se9711241669e4e7a9c68b26e5fcbd8bcu.jpg,3.0,4,N/A,Cameras,camera-accessories
Vention Card Reader USB Memory SD Card Reader Type C USB 3.0 to SD TF Micro SD Adapter for Laptop OTG Type C Smart Media Card Reader all in one Original,1371,https://static-01.daraz.pk/p/395d2df0f4039007c9e61e43c6bf5d35.jpg,,,N/A,Cameras,camera-accessories
"Professional Studio Backdrop sheet  (8ft x 5ft) ,Green Screen Chroma Key Studio Backdrop Video Photo Background Removing Sheet non-woven fabric-Professional for Photo Studio (8ft x 5ft) in all colors",610,https://static-01.daraz.pk/p/1461a2ba5d4c510f837a0b881001f18d.jpg,4.2,5,N/A,Cameras,camera-accessories
IMOU Original (SD-Card) *64GB* & *128GB* for All Use Specially for IMOU/DAHUA Security Cameras,1499,https://static-01.daraz.pk/p/e6b2a99fac00e2f58be837f1e5780123.jpg,,,N/A,Cameras,camera-accessories
"Vlogging Kit: All-in-One Video Making Kit with Tripod Stand, Microphone, LED Light, Mobile Holder & Bluetooth Selfie Shutter - For Live Stream, Vlogs & TikTok",1095,https://static-01.daraz.pk/p/58701e65ec15b4ec0e0dc02803112f7c.jpg,,,N/A,Cameras,camera-accessories
"Ready Stock +SanDisk Micro Sd kaart ,64 GB Card ,128 , 32 GB 16 GBMemory card,All with open packing",449,https://pk-live-21.slatic.net/kf/Sd33ec9d171b84b96b50c86a603bd5301v.jpg,,,N/A,Cameras,camera-accessories
DAHUA Original (SD-Card) *64GB* & *128GB* for All Use Specially for IMOU/DAHUA Security Cameras With 7 Years Warranty,1599,https://static-01.daraz.pk/p/acab52353a613458b804c4ee764afe97.jpg,,,N/A,Cameras,camera-accessories
"Wireless Bluetooth Camera Remote Shutter Selfie Button Self Timer For All Smartphones Bluetooth connecting, supports 10 meters self control NOTE random color will be delivered",399,https://static-01.daraz.pk/p/d2c5ddf314f8643b8b638b1c94e62aec.jpg,1.0,1,N/A,Cameras,camera-accessories
Memory Card Reader All in One USB 2.0 SD/MS/TF/M2,800,https://static-01.daraz.pk/p/b34d5e2928c2ba1128391b9761d49c44.jpg,,,N/A,Cameras,camera-accessories
