name,price,img,rating,reviews_count,link,category,subcategory
WELCOME HEATER ALL IN ONE 6000 LPG ROUND HEATER,13200,https://static-01.daraz.pk/p/dac73e40ef97034756ae42f0e15317d7.jpg,,,N/A,home Appliances,cooling-heating
Orient 1.5 Ton Ultron King eComfort DC Inverter | T3 tropicalized inverter | 100 % Pure copper | For All Weathers Heat & Cool | Japanese PCB Kit | Life Time Brand Warranty,199999,https://static-01.daraz.pk/p/d43fae0aef1049733babd7396d8672a4.jpg,,,N/A,home Appliances,cooling-heating
Khurshid fan AC & DC kit  +  All Pakistani AC DC fan work 100%,2950,https://static-01.daraz.pk/p/0775c4b6a8d3d4d09d61db71994966f5.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan Future Model 56  Copper Winding Ceiling Fan All Colors Available,16250,https://static-01.daraz.pk/p/731874189919d773b3f3e0fea0cdd32f.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan - Marvel Plus Model 56  - Copper Winding - All Colors Available,10750,https://static-01.daraz.pk/p/0113b3bdd27feafadc9f351116eaa672.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan - Monet Model 56  - Copper Winding - All Colors Available,10850,https://static-01.daraz.pk/p/5346e2305362040eb1dc9e6e72cadea8.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan - Marvel Plus Model 56  - Copper Winding - All Colors Available,10780,https://static-01.daraz.pk/p/5a5039a7763f815570707ed5307d6df5.jpg,5.0,2,N/A,home Appliances,cooling-heating
WELCOME HEATER ALL IN ONE 6000 LPG ROUND HEATER,13200,https://static-01.daraz.pk/p/dac73e40ef97034756ae42f0e15317d7.jpg,,,N/A,home Appliances,cooling-heating
Orient 1.5 Ton Ultron King eComfort DC Inverter | T3 tropicalized inverter | 100 % Pure copper | For All Weathers Heat & Cool | Japanese PCB Kit | Life Time Brand Warranty,199999,https://static-01.daraz.pk/p/d43fae0aef1049733babd7396d8672a4.jpg,,,N/A,home Appliances,cooling-heating
Khurshid fan AC & DC kit  +  All Pakistani AC DC fan work 100%,2950,https://static-01.daraz.pk/p/0775c4b6a8d3d4d09d61db71994966f5.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan Future Model 56  Copper Winding Ceiling Fan All Colors Available,16250,https://static-01.daraz.pk/p/731874189919d773b3f3e0fea0cdd32f.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan - Marvel Plus Model 56  - Copper Winding - All Colors Available,10750,https://static-01.daraz.pk/p/0113b3bdd27feafadc9f351116eaa672.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan - Monet Model 56  - Copper Winding - All Colors Available,10850,https://static-01.daraz.pk/p/5346e2305362040eb1dc9e6e72cadea8.jpg,,,N/A,home Appliances,cooling-heating
WELCOME HEATER ALL IN ONE 6000 LPG ROUND HEATER,13200,https://static-01.daraz.pk/p/dac73e40ef97034756ae42f0e15317d7.jpg,,,N/A,home Appliances,cooling-heating
Orient 1.5 Ton Ultron King eComfort DC Inverter | T3 tropicalized inverter | 100 % Pure copper | For All Weathers Heat & Cool | Japanese PCB Kit | Life Time Brand Warranty,199999,https://static-01.daraz.pk/p/d43fae0aef1049733babd7396d8672a4.jpg,,,N/A,home Appliances,cooling-heating
Khurshid fan AC & DC kit  +  All Pakistani AC DC fan work 100%,2950,https://static-01.daraz.pk/p/0775c4b6a8d3d4d09d61db71994966f5.jpg,,,N/A,home Appliances,cooling-heating
GFC Ceiling Fan Future Model 56  Copper Winding Ceiling Fan All Colors Available,16250,https://static-01.daraz.pk/p/731874189919d773b3f3e0fea0cdd32f.jpg,,,N/A,home Appliances,cooling-heating
