name,price,img,rating,reviews,link
Stationery set for kids - Boys and Girls - Cartoon stationery set - school,695.00,https://static-01.daraz.pk/p/11576bd133d182cc70cb43f46a54088e.jpg,4.8,143,//www.daraz.pk/products/-i224390068-s2101509066.html?search=1
3-in-1 Writing board geometry scales colors compass protector set squares pencil sharpener eraser all in one,2290.00,https://static-01.daraz.pk/p/e69ba23d280ddb65a25617fac6491922.jpg,5,1,//www.daraz.pk/products/3-in-1-writing-board-geometry-scales-colors-compass-protector-set-squares-pencil-sharpener-eraser-all-in-one-i493087034-s2354610112.html?search=1
50Pcs Kawaii Cartoon Animal Bookmarks Creative Dual-Purpose Bookmark Rulers Reading Accessories Student Stationery School Supplies,551,https://static-01.daraz.pk/p/927e47c3886462a9b6991fb97104b8b5.jpg,N/A,0,//www.daraz.pk/products/50-i478744905-s2245987986.html?search=1
"2 Pack Heavy Duty Retractable Holder Reel,Metal ID Holder with Belt Clip Key Ring for Name Card Keychain",1422.00,https://static-01.daraz.pk/p/c5cef4ec0404f0d2cbdeb758d09d74aa.jpg,N/A,0,//www.daraz.pk/products/2-id-i215907032-s1425469697.html?search=1
Dip Pen Calligraphy Peacock Feather Quill Writing Ink Set Stationery Gift Box With 5 Nibs,2180,https://static-01.daraz.pk/p/3c7eff4b0a8fbb119c75292481538d5a.jpg,N/A,0,//www.daraz.pk/products/5-i210970177-s1418136153.html?search=1
New Heavy Duty Metal Retractable Carabiner Keychain Belt Badge Reel Clip,2216.00,https://static-01.daraz.pk/p/41652812c7862b09789cb20b976acbbf.jpg,N/A,0,//www.daraz.pk/products/-i531213950-s2498960003.html?search=1
Original Lenovo XE05 XE05pro neckband bluetooth headset Pure stereo sports running IPX5 waterproof and sweatproof,100000.00,https://pk-live-21.slatic.net/kf/Sde773f602de84fdfa978839253a16a420.jpg,5,1,//www.daraz.pk/products/xe05-xe05pro-ipx5-i531227872-s2498912204.html?search=1
Waterproof Makeup Storage Bag with Pouch 2 in 1 | Makeup Brushes Bag & Toiletries Organizers with Full of Storage | Cosmetic Brush Kit | Make Up Bags Pouch with Zipper For Travelling | Multipurpose Traveling Cosmetic Bags for Women,779.00,https://static-01.daraz.pk/p/52a101f181eb1f01d9795c19979d07c7.jpg,4.5,228,//www.daraz.pk/products/travel-cosmetic-organizer-storage-jewellery-set-storage-box-big-cosmetics-poch-jewelry-lipstick-holder-beauty-large-vanity-counter-tops-kit-with-lock-3-in-1-simple-boxes-with-mirror-for-girls-kids-plastic-wooden-acrylic-wall-stand-427348446-i427348446-s2396264837.html?search=1
FINE ART WOODEN EASEL,2250.00,https://static-01.daraz.pk/p/1a8d714b7ed3b15cf8b1cb9762965aa8.jpg,4.7,353,//www.daraz.pk/products/-i167590871-s1656878961.html?search=1
BOSCH ECO Rubber Car Wiper  (Single wiper of Chosen Size),1010.00,https://static-01.daraz.pk/p/eb97a391c1675fa49bd69e20660a5234.jpg,4.7,220,//www.daraz.pk/products/-i214233740-s1423064338.html?search=1
Playstation 3 / PS3 Games (Choose and Buy!!!),2000.00,https://static-01.daraz.pk/p/127eabc8f8acc2644830064206d27b9d.jpg,4.8,63,//www.daraz.pk/products/ps3-3-i425468336-s2015369251.html?search=1
Hasbro Gaming Jenga Tower Wooden Blocks Game -  Wood Toy,499.00,https://static-01.daraz.pk/p/53723037892712081882f8e0be5a4389.jpg,4.4,114,//www.daraz.pk/products/-i422972756-s2185230822.html?search=1
360° Rotating Makeup Organizer Stand - Cosmetic Holder Acrylic,999.00,https://static-01.daraz.pk/p/d300d2e6df87dcee60b49b1e7cf382f4.jpg,3.9,123,//www.daraz.pk/products/360-rotating-makeup-organizer-stand-acrylic-round-shape-360-degree-cosmetics-holder-lipstick-organizers-storage-3d-rotation-beauty-large-spinning-vanity-counter-tops-for-dresser-diamond-cut-plastic-cosmetic-box-for-lipsticks-lip-stick-sticks-i479407293-s2249280084.html?search=1
IRIDIUM SPARK PLUG HONDA CG125 NGK DPR8EIX-9 JAPAN,2999.00,https://static-01.daraz.pk/p/e7b09a6f2229fa4a7447b15caa2d1602.jpg,4.5,23,//www.daraz.pk/products/cg125-ngk-dpr8eix-9-i400282720-s1933413020.html?search=1
Portable Automatic Stainless Steel Door Closer Multifunctional Punch-Free Sensor Door Closer with Drawstring,999.00,https://static-01.daraz.pk/p/c36fab409fa884cb2f1c93ae7bacc7f9.jpg,3.9,86,//www.daraz.pk/products/-i431449231-s2057147062.html?search=1
AUTO JVv CHIP FOR UNLOCK ALLL IP SIM LOCKED PHNE SUPPORTED,2000.00,https://static-01.daraz.pk/p/f6a79c14791362289de3378c2e54a84d.jpg,N/A,0,//www.daraz.pk/products/jv-ip-i532798865-s2503041720.html?search=1
Nestle Milk Pak whipping cream | Dairy cream original guaranteed | Sweetened Dairy Whipping cream,270.00,https://pk-live-21.slatic.net/kf/Sfa27f32887a24791ab3d05b1c596f276O.jpg,N/A,0,//www.daraz.pk/products/-i532711302-s2502905365.html?search=1
car mp5 players 7inch  lcd size,6300.00,https://pk-live-21.slatic.net/kf/Sc79e92fe674c4ec7b685610dd06cdc90a.jpg,4.3,6,//www.daraz.pk/products/mp5-7-lcd-i498572133-s2388506184.html?search=1
Ethernet Cable Lan Cable [1.5M] [3.M] [5M] [10M] [15M] [20M] Cat6 Network Cable Internet Cable Good Quality,349.00,https://static-01.daraz.pk/p/64363b5da52af25b0af0b6549f16f294.jpg,4.7,275,//www.daraz.pk/products/15-3m-5m-10m-15m-20m-cat6-i134743521-s2429878491.html?search=1
"Homemade Talbina Mix 250g (Barley,Dates, Fennel, Cardamom, Nigella sativa )",399.00,https://pk-live-21.slatic.net/kf/S5cf007b718fe4e8596e5df7a4895d41cK.jpg,4.8,21,//www.daraz.pk/products/250-i472353996-s2231774102.html?search=1
2 in 1 Waterproof Makeup Storage Bag with Pouch 2 in 1 | Makeup Brushes Bag & Toiletries Organizers with Full of Storage | Cosmetic Brush Kit | Make Up Bags Pouch with Zipper For Travelling | Multipurpose Traveling Cosmetic Bags for Women,779.00,https://static-01.daraz.pk/p/52a101f181eb1f01d9795c19979d07c7.jpg,4.6,130,//www.daraz.pk/products/travel-cosmetic-organizer-storage-jewellery-set-storage-box-big-cosmetics-poch-jewelry-lipstick-holder-beauty-large-vanity-counter-tops-kit-with-lock-3-in-1-simple-boxes-with-mirror-for-girls-kids-plastic-wooden-acrylic-wall-stand-427343657-i427343657-s2396287974.html?search=1
Strong Hijab Magnetic Pins No Snag Multi Use Hijab Magnets Professional Pinless Magnetic Hijab Pins,235.00,https://static-01.daraz.pk/p/43afc5a960132407ced35e4961cf13c7.jpg,4.6,141,//www.daraz.pk/products/-i469366498-s2216596004.html?search=1
Zipper Waterproof Mattress Cover Bed Bug Proof Waterproof Mattress Protector All Size-6 Sided Waterproof Mattress Cover,1819.00,https://static-01.daraz.pk/p/68c6b73c4fd519e68390d40df23d401c.jpg,4.6,1043,//www.daraz.pk/products/6-i282145141-s1516667184.html?search=1
Stationery set for kids - Boys and Girls - Cartoon stationery set - school,695.00,https://static-01.daraz.pk/p/11576bd133d182cc70cb43f46a54088e.jpg,4.8,143,//www.daraz.pk/products/-i224390068-s2101509066.html?search=1
3-in-1 Writing board geometry scales colors compass protector set squares pencil sharpener eraser all in one,2290.00,https://static-01.daraz.pk/p/e69ba23d280ddb65a25617fac6491922.jpg,5,1,//www.daraz.pk/products/3-in-1-writing-board-geometry-scales-colors-compass-protector-set-squares-pencil-sharpener-eraser-all-in-one-i493087034-s2354610112.html?search=1
