name,price,img,rating,reviews,link
Automatic School Bell,11000.00,https://static-01.daraz.pk/p/cf95d4f5239c1adfea0aadab1deba1fb.jpg,4.9,,//www.daraz.pk/products/-i217592073-s1427963538.html?search=1
ENRG SL02 Mobile Phone Cooler Cooling Fan Battery Power Radiator with Light Low Noise Phone Back Radiator Game Cool Heat Sink Phone Accessories,4499.00,https://static-01.daraz.pk/p/d32d349df8286b419d5bfce2a817fa17.jpg,1,,//www.daraz.pk/products/enrg-sl09-i427313659-s2047623067.html?search=1
4GB RAM DDR3 1600MHz DESKTOPS-TOWERS COMPATIBLE WITH ALL,1699.00,https://static-01.daraz.pk/p/d74ee15c6cf39d1cadbee32a4ed5b053.jpg,3,,//www.daraz.pk/products/4gb-ram-ddr3-1600mhz-desktops-towers-compatible-with-all-i431531796-s2066070708.html?search=1
Sun Off Plus Sunblock Cream Spf70 30gm Non greasy' Invisible,650.00,https://pk-live-21.slatic.net/kf/S62eb7a33db8a409b8a65f23379ad7ebdQ.jpg,5,,//www.daraz.pk/products/spf70-30-i465771667-s2199938213.html?search=1
PC Ram 4GB Ultra Fast DDR3 12800 Branded Attested Lot item Like New not Locally Used for All type of PC Desktop & Tower Upgrade your PC With DDR Ram,1099.00,https://static-01.daraz.pk/p/ea6283cf8eca9d1da2da4322a6b16b31.jpg,3.3,,//www.daraz.pk/products/4gb-ddr3-12800-atted-ddr-i432193145-s2063433411.html?search=1
Thermal Grizzly Kryonaut 5.5gram 12.5W/m.k Conductive Heatsink Plaste Cooler With Certificate Code.,9500.00,https://static-01.daraz.pk/p/9cea3bb825fb3260fb2aa7091794c06f.jpg,4,,//www.daraz.pk/products/100-55-125-wm-k-i224690070-s1443088752.html?search=1
PC Modification parts. Chassis corners and tubing clamps,350.00,https://static-01.daraz.pk/p/30a0590eae174be68f707c9e9d6c18de.jpg,5,,//www.daraz.pk/products/-i491199135-s2325419017.html?search=1
"2GB DDR2 RAM (DESKTOP_TOWER) COMPAIBLE WITH ALL PC,S",999.00,https://static-01.daraz.pk/p/360675bfb94c62435214d52a1193b5de.jpg,3.7,,//www.daraz.pk/products/2gb-ddr2-s-i432783107-s2068738467.html?search=1
Automatic School Bell,11000.00,https://static-01.daraz.pk/p/cf95d4f5239c1adfea0aadab1deba1fb.jpg,4.9,,//www.daraz.pk/products/-i217592073-s1427963538.html?search=1
ENRG SL02 Mobile Phone Cooler Cooling Fan Battery Power Radiator with Light Low Noise Phone Back Radiator Game Cool Heat Sink Phone Accessories,4499.00,https://static-01.daraz.pk/p/d32d349df8286b419d5bfce2a817fa17.jpg,1,,//www.daraz.pk/products/enrg-sl09-i427313659-s2047623067.html?search=1
