name,price,img,rating,reviews_count,link,category,subcategory
All gym accessories,13000,https://pk-live-21.slatic.net/kf/Sd66109d8513443638390b9e89a6f7c0fo.jpg,,,N/A,sports & outdoor,exercise-fitness
Kettler Axos Magnetic Exercise Cycle With 8 Kg Flywheel | Easy On Knees With Adjustable Handles | Electro Magnetic Resistance System Suitable For Men & Women Of All Ages,55000,https://static-01.daraz.pk/p/d94c97bf4c07b9a8a26e8af82fbb7c3e.jpg,,,N/A,sports & outdoor,exercise-fitness
"Carla Secret Concealer Palette, Waterproof Coverage Makeup, Skin-Friendly Brightening Multi-Color Rouge Plate, Concealer Plate, Coverage Makeup Palette for All Skin Types",1300,https://pk-live-21.slatic.net/kf/S7339cfd906134c1b95f79c8b711a5cc0B.jpg,,,N/A,sports & outdoor,exercise-fitness
body posture shaper for all.kinds men women,250,https://pk-live-21.slatic.net/kf/S2d7a32489666458eb884faf513792ce4v.jpg,,,N/A,sports & outdoor,exercise-fitness
Hot Shapers Waist Trimming Belt Pasting Adjustable Weight Lost Slim Shaper Tummy Trimmer Belly Fat Burner Sweat Belt Body Shaper Fit to All-Adjustable Women Waist Trainer-Body Shaper After Birth Slim Belt Corset,499,https://static-01.daraz.pk/p/5d8bec2e20909004d4f26edd18299484.jpg,,,N/A,sports & outdoor,exercise-fitness
"Slimming Sweet Sweat Belt Hot shaper waist trimmer Fat Reducing  belt for Unisex Sweat Slim Belt for WomenMen, Body Shaper Fit to All",999,https://static-01.daraz.pk/p/8eac47451ddb7d78a23e7cc9c1f41689.jpg,4.591666666666667,109,N/A,sports & outdoor,exercise-fitness
Best Yoga Mats: Shop Non-Slip Mats for All Levels,1500,https://static-01.daraz.pk/p/e3d2950f21063493bcae7631add2d1f5.png,,,N/A,sports & outdoor,exercise-fitness
Pair of High Quality Weight Plate Chrome 1kg To 25Kg Adjustable Fits all from 23-25mm weight bars,850,https://static-01.daraz.pk/p/ca346f09176f9ae491f5d42cdcc666f6.png,,,N/A,sports & outdoor,exercise-fitness
Sports Running Jogging Gym Armband Case Cover Holder Compatible for All Smart Phones Till 5 inch iPhone 6 Samsung Redmi Motorola (Black),600,https://static-01.daraz.pk/p/0c1ad2dba08ecec1301b303fbb797584.jpg,,,N/A,sports & outdoor,exercise-fitness
Waterproof Armband for All Smartphones (Random Color),999,https://static-01.daraz.pk/p/5210db01a5f32e44ed31a96c80fb48b1.jpg,,,N/A,sports & outdoor,exercise-fitness
Full Finger Cotton Summer Hand Gloves for All Activities 5 Pairs,999,https://static-01.daraz.pk/p/836ae38c75cf1594c25dbd96be9ed026.png,,,N/A,sports & outdoor,exercise-fitness
"Yoga Mat 4mm Non-Slip with Protein Shaker Bottle - Eco-Friendly, High-Density Yoga Mat for All Yoga Types and Fitness Workouts with Free Shoulder Strap",1049,https://static-01.daraz.pk/p/6a3e671f13ab65c6193de38d517376d4.jpg,,,N/A,sports & outdoor,exercise-fitness
"Skipping Rope, Soft Cushioning Wide Application Comfortable Feeling Speed Jumping Rope For Workout Professional Adjustable Steel Wire Jump Rope with Carrying Pouch by Fitness Factor Ergonomic,Durable,Easy to Adjust Premium Jump Rope All Heights and Skill",299,https://static-01.daraz.pk/p/598f26507c5f4464cfc7e6e649171b1d.jpg,3.0,2,N/A,sports & outdoor,exercise-fitness
"6mm Thick Non-Slip Yoga Mat - Eco-Friendly, High-Density, All Yoga Types, Fitness Workouts with free Shoulder Strap.",1199,https://static-01.daraz.pk/p/6a3e671f13ab65c6193de38d517376d4.jpg,5.0,1,N/A,sports & outdoor,exercise-fitness
"Revoflex Xtreme Workout machine for home, Total body fitness Gym - Revoflex Xtreme Abs Trainer Resistant - All in One Portable Abs,",4000,https://static-01.daraz.pk/p/2558b54303c2e537340faf01479b0d5f.jpg,4.947368421052632,58,N/A,sports & outdoor,exercise-fitness
"FitBoard Push-Up Trainer for All Build Strength, Build Endurance Get Fit, Stay Fit. Push-up Board Multi-functional Body Building Fitness Exercise 9 in 1 Foldable System Push up Board for Home Exercise",1790,https://static-01.daraz.pk/p/5fb8a63659396ab6f291323d16ece26d.jpg,,,N/A,sports & outdoor,exercise-fitness
Imported Design Iron Gym bar Chin up Bar Pull Up Bar Wall Mount Bracket All Free Screw with 4 Soft Gripper Home Gym Exercise Red,2299,https://static-01.daraz.pk/p/64f9cca677b39959d6a2e9a7a561025f.jpg,4.7272727272727275,11,N/A,sports & outdoor,exercise-fitness
"4mm Non-Slip Yoga Mat with Protein Shaker Bottle - Eco-Friendly, High-Density Yoga Mat for All Yoga Types and Fitness Workouts with Free Shoulder Strap",1049,https://static-01.daraz.pk/p/44e6764e5dbb529c758b8c26815ec6c8.png,,,N/A,sports & outdoor,exercise-fitness
Slim Body Shape And Supports For Total Confidence. Full body shaper skin colour imported with box best quality fabric all sizes in stock,1450,https://pk-live-21.slatic.net/kf/Sededadc8e11c487c8c0d6339f130044fZ.jpg,,,N/A,sports & outdoor,exercise-fitness
Yoga Mat Carry Strap Grey - Conveniently Carry Your Yoga Mat Anywhere with Cotton Yoga Mat Strap - Multipurpose Lightweight Adjustable Loops for all Mat Sizes and Easy to Use Yoga Mat Sling and Holder,229,https://static-01.daraz.pk/p/df39da7996ebe117747441ebae9bce3d.jpg,,,N/A,sports & outdoor,exercise-fitness
"Men Slimming Waist Trimmer Belt, Body Shaper Fit To All Adjustable Waist Trainer",999,https://static-01.daraz.pk/p/930fa8dbff7a895d02a8cea4f52f16af.jpg,4.333333333333333,15,N/A,sports & outdoor,exercise-fitness
"ProTone || ProTone Resistance Bands: Ultimate Portable Fitness Solution** it's all the gym in home, stretching and exercise of your every muscle in home best for everyone.",1700,https://static-01.daraz.pk/p/b632a54c7730cf420786ef4b4320380d.jpg,,,N/A,sports & outdoor,exercise-fitness
Epoch Hand Strengthener Adjustable Hand Grip Trainer with Counting for Muscle Building Recovery Ergonomic Design for Stronger Hands Buyers' Choice Grip Strengthener for All Hand Sizes,4550,https://static-01.daraz.pk/p/c5442b3686ec919556e949c1b0e3c4df.jpg,,,N/A,sports & outdoor,exercise-fitness
Sports vest in best quality(for all sizes),1950,https://pk-live-21.slatic.net/kf/S442243b2633a426a8819d028f1de6d42G.jpg,,,N/A,sports & outdoor,exercise-fitness
18 Inch Power Weight Lifting Wrist Wraps Supports Gym Training Fist Straps - Sold as Pair & One Size Fits All,490,https://static-01.daraz.pk/p/150ba00708882ce0c684023e287ca042.jpg,4.894736842105263,19,N/A,sports & outdoor,exercise-fitness
YOUGA MATT ALL EXERCISE,5000,https://pk-live-21.slatic.net/kf/Sf5587ca6fa4f4367ac7d4bb8eea11072P.jpg,,,N/A,sports & outdoor,exercise-fitness
"Hot shaper Best Slimming Sweet Sweat Belt  waist trimmer Fat Reducing  belt for Unisex Sweat Slim Belt for WomenMen, Body Shaper Fit to All",849,https://static-01.daraz.pk/p/0d828c5565b127f8e77de74a746ec975.jpg,,,N/A,sports & outdoor,exercise-fitness
"Yoga mat 8mm ,all mats for best exercise at best prices of all yoga mats for men and women yoga mat (24*68inches)",2300,https://static-01.daraz.pk/p/ca10564e15d2e1d380d4b08622bd4c5d.jpg,,,N/A,sports & outdoor,exercise-fitness
