name,price,img,rating,reviews_count,link,category,subcategory
1x4foot marble design bajry style waterproof PVC sheet fridge cabinet table all home decor,399,https://pk-live-21.slatic.net/kf/Sf182c85eb87f40f9913ef83880df5273I.jpg,,,N/A,furniture & decor,furniture
L-Shaped Sofa Set 6 Seater Corner Setty Molty Foam Turkish Design Customize in all sizes,55000,https://static-01.daraz.pk/p/82608615e50fb1e86010f70a722e187c.jpg,5.0,1,N/A,furniture & decor,furniture
High Quality Crystal Printed Sofa Covers- BEST QUALITY-ALL SIZES ARE AVAILABLE,899,https://static-01.daraz.pk/p/cf84ec158295c55db19835d8831f5ec0.jpg,5.0,1,N/A,furniture & decor,furniture
Customize dining or bedroom chair office chair solid wood frame imported leather rite all colours customize available,9500,https://static-01.daraz.pk/p/12ae26ed32b75be9b370743a6c747678.jpg,,,N/A,furniture & decor,furniture
furniture Polish Shiner Spray Bottle (Works on all color Furniture),499,https://pk-live-21.slatic.net/kf/Safe387521b114a078136005550aa2c6bp.jpg,,,N/A,furniture & decor,furniture
wardrobe with dressing table (all colors available),60000,https://pk-live-21.slatic.net/kf/Sf93043bdeccb4244a312a99ed25fd7f7O.jpg,,,N/A,furniture & decor,furniture
Bubble Sofa Covers/Stretchable Sofa Covers with Best Quality Anti Slip premium quality soft fabric 3/4/5/6/7 And  All sizes Available,7000,https://static-01.daraz.pk/p/4df687a946cad115de464cf566b2034b.png,,,N/A,furniture & decor,furniture
Dining chairs set Six dining chairs set in sheesham wood complete in polish six chairs plus table and acrylic table top all item customize available,62000,https://pk-live-21.slatic.net/kf/S2df36efe7ee9482390fd5571327e42d2Z.jpg,,,N/A,furniture & decor,furniture
Shizi Outdoor Rattan Set / waterproof furniture - Restaurant/Garden patio Dinning all weather chair/sofa dinning set,33999,https://static-01.daraz.pk/p/e1fdd80e759bd45fe95ffc82ae7af095.jpg,,,N/A,furniture & decor,furniture
Manipaidi 3in1 with all imported accessories | pedicure sofa set | manipaidi washing system,46500,https://pk-live-21.slatic.net/kf/S0bd0c2339f32413abc0640204b48f25db.jpg,,,N/A,furniture & decor,furniture
Blue Shade Net | BEST QUAILITY GAURANTEED | All sizes available,900,https://static-01.daraz.pk/p/6cff94b2978ff9f3ce9ef1dca29c62f3.jpg,,,N/A,furniture & decor,furniture
"Barber & Cutting Chairs,All Furniture,Makeup & Styling Chairs,ChairsIn Stock",28000,https://static-01.daraz.pk/p/0388e83806c2310f78455ea1e8f5ce03.jpg,,,N/A,furniture & decor,furniture
Bed saide table unique modren style all design bed attach,5999,https://pk-live-21.slatic.net/kf/Se039edfcf4a6439da72a04d9aea63cd18.jpg,,,N/A,furniture & decor,furniture
Customizable in All Size For Your Room and all colors L and U  Shape Corner Sofa Set Without puffy,150000,https://static-01.daraz.pk/p/f4d7f851b49c7f1e62fcbc53fbb3125c.jpg,,,N/A,furniture & decor,furniture
Table leg metal black mate all table consoule,900,https://pk-live-21.slatic.net/kf/See2400bf88c54bdd83b75765e84a6961Y.jpg,,,N/A,furniture & decor,furniture
rocking chair Easy chair sleeping resting chair all colour customised available,24500,https://pk-live-21.slatic.net/kf/S8fb477ffe812417c9ffdbc956997e885e.jpg,,,N/A,furniture & decor,furniture
TV Cabinet With Shelf  In All colors,4999,https://pk-live-21.slatic.net/kf/S8804a3d172e2490cb3e12e7e9e0ed3f0H.jpg,2.5,2,N/A,furniture & decor,furniture
Anti Slip Anti Dust Turkish Style Sofa Covers in Soft Knitted Cotton Mash Fabric | All Sizes are Available - Choose Size from Options | Premium Quality,5000,https://static-01.daraz.pk/p/63bb3c31b77e8049f900eab192d964e2.jpg,,,N/A,furniture & decor,furniture
school chairs two variation available (all colors available),3000,https://pk-live-21.slatic.net/kf/S88c6bf8e181247679062852593da8426e.jpg,,,N/A,furniture & decor,furniture
six chairs dinning chairs set imported fabric 10 years guarantee foam and structure all colours customize available,85000,https://pk-live-21.slatic.net/kf/S858f93cb4c3f4a5aae6a791c190e721ei.jpg,,,N/A,furniture & decor,furniture
"High Quality Ultrasonic Micro Fabric Cotton Quilted Sofa Covers, Cotton Quilted Sofa Covers- BEST QUALITY-ALL SIZES ARE AVAILABLE",680,https://static-01.daraz.pk/p/adee1f15162d7975db8a0c111e238816.jpg,,,N/A,furniture & decor,furniture
Sofa covers all sets (6 seater )(high quality Turkish cover,4000,https://pk-live-21.slatic.net/kf/S27196ff4d53e432e93d861837b0d4c69l.jpg,,,N/A,furniture & decor,furniture
customize Sofa three seater with seaty 3 seater sofa plus seaty all colours customize available,52000,https://pk-live-21.slatic.net/kf/Sb5f3842da1f44614ae872a770bf17bc3H.jpg,,,N/A,furniture & decor,furniture
Customize Dining chair  six chairs with table all colours customize available woth table,80000,https://pk-live-21.slatic.net/kf/S066bf3626bd54301bfd03ec614ec56f3g.jpg,,,N/A,furniture & decor,furniture
customize Royal bedroom chairs set 10 years guarantee foam and structure imported fabric all colours customize available,44999,https://static-01.daraz.pk/p/8e82846122f581fd73e529305d728a4c.jpg,,,N/A,furniture & decor,furniture
kid's bed without mattress ( all colors available),14000,https://pk-live-21.slatic.net/kf/Sd81b0313ce2f40c0ae69c9a4b942bf1bq.jpg,,,N/A,furniture & decor,furniture
"Stretchable Sofa Covers for 7 seater (3+2+1+1), jersey fabric , Elastic Sofa Cover , Free Size , Fit to all Sofa , Standard Size, Dark Brown",3290,https://static-01.daraz.pk/p/cd1145e78b333621bf22a7796278273f.jpg,5.0,1,N/A,furniture & decor,furniture
customize six seater L shape sofa 10 years guarantee foam and structure all colours available,75000,https://static-01.daraz.pk/p/450cb93091fef5ef9a3e0c72a4d9df46.jpg,,,N/A,furniture & decor,furniture
Shizi Balcony Chairs & Table Outdoor Rattan Coffee table/Cane/Wicker waterproof furniture - Restaurant/Garden patio Dinning all weather chair/sofa dinning set- Restaurant furniture,24999,https://static-01.daraz.pk/p/c469dabdbe6ecf8bb7597af9fce44adc.jpg,,,N/A,furniture & decor,furniture
