name,price,img,rating,reviews_count,link,category,subcategory
"Shampoo Massager Brush Scalp Hair Scrubber with Soft Silicone Bristles For All Type Of Hairs - Straight, Curly, Wet & Dry For Men Women And Children - Top Quality",249,https://static-01.daraz.pk/p/d3ab95fd4ac7d2b407e5e4f0786b37a9.png,,,N/A,Health & Beauty,hair care
"Magic Retractable Comb Self Cleaning Hair Brush Massage Anti-static Hair Smoothing Comb, Suitable for All Hair Types, Unisex",280,https://static-01.daraz.pk/p/deb4be9298db787362b3da10a534b442.jpg,,,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair Conditioning Argan Oil Collagen Hair Mask Essence for Dry Damaged Hair All Hair Types 500ml,999,https://static-01.daraz.pk/p/014fb1c1eacdb7c7cb5bf91aa7440c0b.jpg,1.0,1,N/A,Health & Beauty,hair care
Revlon Hair Color (All Shades),840,https://static-01.daraz.pk/p/2a2d0d4220c14d413b8b60268e1b9e8e.jpg,,,N/A,Health & Beauty,hair care
1pcs Natural Bamboo Wooden Comb Wide-Tooch Hairdressing Comb Anti Static For All Hair Types,279,https://static-01.daraz.pk/p/0ea7c0ab3227b220efcc1fadbbdbfe3c.png,,,N/A,Health & Beauty,hair care
1pc Hollow Out Hairdressing Brush Shampoo Hair Brush Scalp Massage Hair Brush For All Hair Types,473,https://pk-live-21.slatic.net/kf/S85412a5dc93e47599180b47a685f728ds.jpg,5.0,1,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair - 500ml Conditioning Argan Oil Collagen Hair Mask | Collagen Hair Mask Essence for Dry Damaged Hair | Revitalizing & Nourishing Treatment Deep Conditioning & Repairing Treatment For All Hair Types,850,https://static-01.daraz.pk/p/e1565cff5890a88169846552fb5a7275.jpg,,,N/A,Health & Beauty,hair care
1pcs Natural Bamboo Wooden Comb Wide-Tooch Hairdressing Comb Anti Static Hairdressing Comb For All Hair Types,280,https://static-01.daraz.pk/p/33614fd4f36e32ff34e33353978970b6.jpg,3.4444444444444446,9,N/A,Health & Beauty,hair care
Natural Bomboo wooden comb wide-tooth Hairdressing combwooden comb wood comb 1 piece wooden comb for all type of hair,380,https://pk-live-21.slatic.net/kf/S7bc9639c59b64224a05c700a0cf86774F.jpg,,,N/A,Health & Beauty,hair care
1pc Vented Detangling Brush for Dry Hair-Massage Hair Brush for All Hair Types-Gentle on Scalp and Hair-Perfect for Everyday Use,391,https://pk-live-21.slatic.net/kf/S8012b9b4addc4c4a96b14c1f4e8b92bem.jpg,,,N/A,Health & Beauty,hair care
Professional Hair Brush imported Made Brush For All Hair Types Durable Bristles-Random Colors,545,https://static-01.daraz.pk/p/acc9577447228be83433e0f9467f3edb.jpg,3.5,2,N/A,Health & Beauty,hair care
5 Clips In Straight Hair Extension -  all color - hair extension -Full Volume Hair Extension - Long Hair Wig 5 Clip In Extension Original Looking  imaada,1650,https://static-01.daraz.pk/p/904c629224c8060df67d7ce9775f3cd3.jpg,,,N/A,Health & Beauty,hair care
"2-in-1 Sillicon Body Scrubber and Hair Shampoo Brush Exfoliating Body Scrub, Scalp Massager, Bath Scrubber, Hair Shampoo Brush, Scalp Massager for Hair Growth, Silicon Scalp Exfoliator for Dandruff Removal, Suiable for all hair types for Men and women",599,https://pk-live-21.slatic.net/kf/Sdee44554a8464038987abbbc5ab9f615A.jpg,5.0,1,N/A,Health & Beauty,hair care
"IntelliDetangle, the ultimate paddle brush for effortless hair detangling of all hair types",999,https://static-01.daraz.pk/p/a07b479ef44e5b9ca6330aa662b3707f.jpg,,,N/A,Health & Beauty,hair care
hair system care wig Liquid glue Top priority SP 40(59ml) Hardbond for all hair systems for salon and personal use,2799,https://pk-live-21.slatic.net/kf/Sc042003d3e7b40abb9d3840b4c868029X.jpg,,,N/A,Health & Beauty,hair care
"Premium Quality Hair Scalp Massager, Original Soft Silicone Shampoo Brush, Hair Scrubber, Hair Washing Brush Scalp Massaging Brush to control Dandruff , Head Scrubber for All Hair Types of Men and Women",289,https://static-01.daraz.pk/p/da2ef054381b0e7834636c5ffd559742.jpg,,,N/A,Health & Beauty,hair care
Professional Round Brush Big Ceramic Ion Thermal Barrel Brush Comfortable Antistatic Bristle Styling Hair Brush Comb Accessory for All Hair Type,750,https://static-01.daraz.pk/p/46e7449dc7f6cc26c44e85045679c85f.jpg,,,N/A,Health & Beauty,hair care
"Havelyn 7 IN 1 Hair Food Oil 200ml: Nourish, Strengthen, and Combat Hair Fall for Luxuriously Long and Strong Hair for All Men & Women",380,https://pk-live-21.slatic.net/kf/Sc5b21ef6c51c4e25b384e9e1394c152db.jpg,,,N/A,Health & Beauty,hair care
Hair Masque | Gentle Hair Moisturizer Deep Conditioning Care | Karseell Collagen Hair Mask Maca Power Deep Repair Conditioning Argan Oil Collagen Hair Mask Essence for Dry Damaged Hair All Hair Types 16.90 oz 500ml,750,https://static-01.daraz.pk/p/b4b30af6515ae56853c024ffbffa02e9.jpg,,,N/A,Health & Beauty,hair care
High Quality Hair Secrets Dose Of Magic Oil Blend 100 Percent Organic For All Ages Girls,1299,https://static-01.daraz.pk/p/a7e1f7447d44ceb6e0f51e3503d64525.jpg,,,N/A,Health & Beauty,hair care
"Hair Extension for Girls  Natural Brown - All the hair are 100% natural looking hair. They are invisible and silky soft with a very natural look,most fashionable and attractive. No tangle, no shedding.",693,https://static-01.daraz.pk/p/1c2a75c6bc20dd8b8b8d6a08b692e9cc.jpg,1.0,1,N/A,Health & Beauty,hair care
Men's All-in-One Beard Styling Comb - Creative Beard Stencil and Shaping Template Tools for Perfectly Groomed Facial Hair,377,https://pk-live-21.slatic.net/kf/S930b932f01744b65ab09fb3d7c02c5e4u.jpg,4.25,4,N/A,Health & Beauty,hair care
Wholesale Korean version wig bangs headband children's headwear baby wig bangs curly hairband hair accessories are all kind,3923,https://static-01.daraz.pk/p/048179269108229bb12d2f28e8199fef.jpg,,,N/A,Health & Beauty,hair care
"Livon Serum for Women for All Hair Types,For Frizz-free, Smooth & Glossy Hair, 50 ml",499,https://static-01.daraz.pk/p/9d59bcbfb257ebfbd632b2f9b69500b3.jpg,,,N/A,Health & Beauty,hair care
KARSEELL Hair Treatment Deep Repair Mask - Conditioning Argan Oil Collagen Hair Mask - Best Essence for Dry Damaged Hair - All Hair Types - 500ml,580,https://static-01.daraz.pk/p/4062c77b8bf78bf9c2f33388cdc30293.png,,,N/A,Health & Beauty,hair care
Shampoo Massager Brush Scalp Hair Scrubber with Soft Silicone Bristles For All Type Of Hairs Straight Curly Wet Dry For Men Women Children (Black),200,https://static-01.daraz.pk/p/a81fc34f186560e4bb29d433ce2d9913.jpg,,,N/A,Health & Beauty,hair care
Coffee Premium Keratin All Liss Progressive Brush Kit 3x1L - Honma Tokyo (3x 1000ml),29999,https://static-01.daraz.pk/p/eb477a62e4ea9e90d66bff59b884cc19.jpg,,,N/A,Health & Beauty,hair care
5pcs/set Detangling  Anti Static Hair Brush Curly Hair Curved Rat Tail Comb Set  Salon Hair Tools Suitable For All Hair Types,1664,https://pk-live-21.slatic.net/kf/Sb6258efd5a7543cab32d3bf764084050y.jpg,5.0,1,N/A,Health & Beauty,hair care
paddle hair brush set 3 in 1 complete paddle Brushes for All type of hair stylesg,835,https://pk-live-21.slatic.net/kf/Sfc67869e93644c00b1deba021f6e680eu.jpg,,,N/A,Health & Beauty,hair care
Hair Secret  Of Magic Anti Frizz Hair Serum 30 ml for All Ages Girls,599,https://static-01.daraz.pk/p/fbbe8c998847f2111ce733ce538918ef.jpg,,,N/A,Health & Beauty,hair care
Hairbrush Air Cushion Comb Fluffy Anti-Hair Loss Massage Hair Brush For All Hair Types For Long Thick Thin Curly Natural Hair,564,https://pk-live-21.slatic.net/kf/S4abfae438d3b4b449b4ec11dfb0e8600u.jpg,3.6666666666666665,3,N/A,Health & Beauty,hair care
"Havelyn 7 IN 1 Hair Food Oil 200ml: Nourish, Strengthen, and Combat Hair Fall for Luxuriously Long and Strong Hair for All Men & Women",599,https://pk-live-21.slatic.net/kf/S596745e5f98740e1ab2db78030cc0fb7V.jpg,,,N/A,Health & Beauty,hair care
"Anti Hair Loss, Hair Growth and Regrowth Hair Fall Rescue Treatment Herbal Hair ReGrowth Oil for All Hair Types.",1600,https://static-01.daraz.pk/p/1c5898f655cf11508c11f55361f576c5.jpg,4.909090909090909,6,N/A,Health & Beauty,hair care
"WELLICE ESSENCE ONION SHAMPOO | Onion Anti Hair loss & Anti Dandruff Shampoo For Men & Women | Herbal Onion Shampoo | Promotes Hair Growth | Cleanses & Reduces Oiliness | For all Hair Types | Natural Extracts | Organic, Sulphate-free, Paraben-free",485,https://static-01.daraz.pk/p/7e9fe2e73d416bf10c27d066277b78a1.png,,,N/A,Health & Beauty,hair care
"Havelyn 7 IN 1 Hair Food Oil 200ml: Nourish, Strengthen, and Combat Hair Fall for Luxuriously Long and Strong Hair for All Men & Women",599,https://static-01.daraz.pk/p/5e17c277de6dd941ce2c84c6e91bd02d.jpg,,,N/A,Health & Beauty,hair care
bremod hair color ALL SHADES,1199,https://static-01.daraz.pk/p/df261bfb2805f543db656104cf4bbc03.jpg,4.483333333333333,120,N/A,Health & Beauty,hair care
Yardlie Professional Red Onion Black Seed Oil Moisture Deeply Anti-Hair Dandruff Shampoo 500ml For All Hair Loss Prevention Promote Hair Growth - High Quality,1399,https://static-01.daraz.pk/p/a649ef0fc768d78880b59d3066b8330c.jpg,,,N/A,Health & Beauty,hair care
Choosey's V-Comb Anti Lice Machine With Stainless Steel Teeth - Quickly Removes All Lice and their Eggs,1799,https://static-01.daraz.pk/p/acee00eed2759e571ab6aaf6feaca724.png,,,N/A,Health & Beauty,hair care
New cartoon San Liou folding airbag Kitty cat portable makeup dual-purpose all-in-one mirror comb,2409,https://static-01.daraz.pk/p/f8e04facba17ed23c98276b6dc9c4095.jpg,,,N/A,Health & Beauty,hair care
Hairbrush Air Cushion Comb Fluffy Anti-Hair Loss Massage Hair Brush For All Hair Types For Long Thick Thin Curly Natural Hair,741,https://pk-live-21.slatic.net/kf/S56747698a10c4c488db7af95405e1886C.jpg,4.125,8,N/A,Health & Beauty,hair care
"Shampoo Massager Brush Scalp Hair Scrubber with Soft Silicone Bristles For All Type Of Hairs - Straight, Curly, Wet & Dry For Men Women And Children - Top Quality",249,https://static-01.daraz.pk/p/d3ab95fd4ac7d2b407e5e4f0786b37a9.png,,,N/A,Health & Beauty,hair care
"Magic Retractable Comb Self Cleaning Hair Brush Massage Anti-static Hair Smoothing Comb, Suitable for All Hair Types, Unisex",280,https://static-01.daraz.pk/p/deb4be9298db787362b3da10a534b442.jpg,,,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair Conditioning Argan Oil Collagen Hair Mask Essence for Dry Damaged Hair All Hair Types 500ml,999,https://static-01.daraz.pk/p/014fb1c1eacdb7c7cb5bf91aa7440c0b.jpg,1.0,1,N/A,Health & Beauty,hair care
Portable Carry-On Macaroon Colour Airbag Comb Mini Mirror Comb Folding All-In-One Cute Air Cushion Massage Comb,510,https://pk-live-21.slatic.net/kf/S114838156deb4460b347e0c91606a7a9i.png,4.512605042016807,119,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair Conditioning Argan Oil Collagen Hair Mask Essence for Dry Damaged Hair All Hair Types 500ml,999,https://pk-live-21.slatic.net/kf/Seff564aca72142bb8cfc400771f83207k.jpg,,,N/A,Health & Beauty,hair care
Revlon Hair Color (All Shades),840,https://static-01.daraz.pk/p/2a2d0d4220c14d413b8b60268e1b9e8e.jpg,,,N/A,Health & Beauty,hair care
1pcs Natural Bamboo Wooden Comb Wide-Tooch Hairdressing Comb Anti Static For All Hair Types,279,https://static-01.daraz.pk/p/0ea7c0ab3227b220efcc1fadbbdbfe3c.png,,,N/A,Health & Beauty,hair care
1pc Hollow Out Hairdressing Brush Shampoo Hair Brush Scalp Massage Hair Brush For All Hair Types,473,https://pk-live-21.slatic.net/kf/S85412a5dc93e47599180b47a685f728ds.jpg,5.0,1,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair - 500ml Conditioning Argan Oil Collagen Hair Mask | Collagen Hair Mask Essence for Dry Damaged Hair | Revitalizing & Nourishing Treatment Deep Conditioning & Repairing Treatment For All Hair Types,850,https://static-01.daraz.pk/p/e1565cff5890a88169846552fb5a7275.jpg,,,N/A,Health & Beauty,hair care
"Revlon Flex Seaweed Extract Nourishing Care Shampoo With Protein Conditioning, For All Hair Types, 592ml",1299,https://static-01.daraz.pk/p/e76f514a382274374364483a0f188d75.jpg,,,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair Conditioning Argan Oil Collagen Hair Mask Essence for Dry Damaged Hair All Hair Types 500ml,599,https://static-01.daraz.pk/p/38c61ff68a3439c59b8ecd963e97113f.jpg,,,N/A,Health & Beauty,hair care
"Self-Cleaning Anti-Static Massage Comb,Retractable Comb,Soft Hairbrush,3D Air Cushion Self Cleaning Hair Brush Massager Hairbrushes, Easy Clean Airbag Comb Suitable for All Hair Types",340,https://static-01.daraz.pk/p/db42b79bea3ea81891392afdeb505d6b.jpg,,,N/A,Health & Beauty,hair care
hair system care wig tape Walker's sensi tak 100% original adhesive tape for hair wig/patch/unit/toupee and all hair systems,8500,https://static-01.daraz.pk/p/98634f5b72786c51a3f8356f9d05e679.jpg,,,N/A,Health & Beauty,hair care
Hair combs for all types of hair design,450,https://pk-live-21.slatic.net/kf/Sff88ff09a05643c192ec563dfdd640cc5.jpg,,,N/A,Health & Beauty,hair care
"We are providing quality product hair toupee wig,Cap Wig,Clips Unit,Usa Base hair unit,lotion,tapes & all that help you
You can visit us as well you can also order for home service.
1 year service free",60000,https://pk-live-21.slatic.net/kf/S49f09b54fdb04e32ab00ec663e7167cd4.jpg,,,N/A,Health & Beauty,hair care
Portable Carry-On Macaroon Colour Airbag Comb Mini Mirror Comb Folding All-In-One Cute Air Cushion Massage Comb,510,https://pk-live-21.slatic.net/kf/S114838156deb4460b347e0c91606a7a9i.png,4.512605042016807,119,N/A,Health & Beauty,hair care
1pcs Natural Bamboo Wooden Comb Wide-Tooch Hairdressing Comb Anti Static Hairdressing Comb For All Hair Types,280,https://static-01.daraz.pk/p/33614fd4f36e32ff34e33353978970b6.jpg,3.4444444444444446,9,N/A,Health & Beauty,hair care
Natural Bomboo wooden comb wide-tooth Hairdressing combwooden comb wood comb 1 piece wooden comb for all type of hair,380,https://pk-live-21.slatic.net/kf/S7bc9639c59b64224a05c700a0cf86774F.jpg,,,N/A,Health & Beauty,hair care
1pc Vented Detangling Brush for Dry Hair-Massage Hair Brush for All Hair Types-Gentle on Scalp and Hair-Perfect for Everyday Use,391,https://pk-live-21.slatic.net/kf/S8012b9b4addc4c4a96b14c1f4e8b92bem.jpg,,,N/A,Health & Beauty,hair care
Portable Carry-On Macaroon Colour Airbag Comb Mini Mirror Comb Folding All-In-One Cute Air Cushion Massage Comb,510,https://pk-live-21.slatic.net/kf/S114838156deb4460b347e0c91606a7a9i.png,4.512605042016807,119,N/A,Health & Beauty,hair care
Hair Styling Round Shape Hair Brush For All Type,280,https://static-01.daraz.pk/p/fe9c430f816442f2427dfbd52d5811c8.jpg,,,N/A,Health & Beauty,hair care
"Shampoo Massager Brush Scalp Hair Scrubber with Soft Silicone Bristles For All Type Of Hairs - Straight, Curly, Wet & Dry For Men Women And Children - Top Quality",249,https://static-01.daraz.pk/p/d3ab95fd4ac7d2b407e5e4f0786b37a9.png,,,N/A,Health & Beauty,hair care
Karseell Collagen Hair Treatment Deep Repair Conditioning Argan Oil Collagen Hair Mask Essence for Dry Damaged Hair All Hair Types 500ml,999,https://pk-live-21.slatic.net/kf/Seff564aca72142bb8cfc400771f83207k.jpg,,,N/A,Health & Beauty,hair care
