name,price,img,rating,reviews_count,link,category,subcategory
DK POWER STEREO EARPHONE BEST SOUND QUALITY COMPITABLE WITH ALL MOBILE PHONES RANGE 18-20000Hz,350,https://static-01.daraz.pk/p/7b45950e3791552c9a67bb396b3ed340.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
AirPods Pro 2 (2nd Gen) AirPods Pro 2 Premium copy price in Pakistan starts from Rs. 2599. It includes all features with great sound quality and long battery life.,2599,https://pk-live-21.slatic.net/kf/Sd45afbf9f4604248ac973cb91a1227d59.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
Air buds Bluetooth Wireless Earbuds with Upgraded for all Smart Devices,295,https://static-01.daraz.pk/p/4536be9e28bffaf7f478f45a0e7ce96e.png,3.56,25,N/A,"TV, Audio & Gaming",headphones-headsets
"Airpro & Air 31 & M10 TWS I12 Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",299,https://static-01.daraz.pk/p/f0d25d17019021f16a87c9b6796d799a.jpg,4.012195121951219,82,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPods_Pro 2nd Airpods 3rd Gen Airpods 2nd TWS Airpods Wireless Earbuds Bluetooth 5.0, Super Sound Bass, Single Airpods, Charging Case and Extra Ear-Buds, Pop-Up Feature Compatible with All Devices",695,https://static-01.daraz.pk/p/f1d0a7a499538432fe6e019445beb658.jpg,4.3,10,N/A,"TV, Audio & Gaming",headphones-headsets
M10 Air buds Wireless Bluetooth EarBuds Stereo Earphones with Power bank Bluetooth Ear phone Ear Buds Airdots Premium Quality For All Smart Phones,746,https://static-01.daraz.pk/p/fa0f67eea213dbed4311e000920ad7de.jpg,4.497854077253219,699,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPods_Pro 2nd generation titanium ANC Wireless Earbuds Bluetooth 5.0, Super Sound Bass, Charging Case and Extra Ear-Buds, Pop-Up Feature Compatible with All Devices",2400,https://pk-live-21.slatic.net/kf/S05f0d29d8c42408c82845a654ced575a2.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
Wireless Bluetooth  with Power Bank Pod Stereo Earphones White bluetooth ear phone for all cell phones use,569,https://static-01.daraz.pk/p/ca7256dbcba658c25da53f740881a52d.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
Wireless Bluetooth Headphones Tws Earphones Mini Heaset with Charging Case Waterproof Earbuds for All Phone Huawei iPhone,1000,https://pk-live-21.slatic.net/kf/Sc456c7f4b64041649edc76c8f4974bc6P.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPro Wireless Earbuds Bluetooth 5.0 Super Sound  Charging Case and Extra Ear & Buds, Pop & Up Feature Compatible with All Devices",299,https://static-01.daraz.pk/p/c6912737d733e578dc2658573b235c6a.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
Erorex X1 High Quality Wired Stereo_Earphones Premium In-Ear Deep Bass Stereo Earbuds Earphones Handfree with Mic for All Smartphones Android & Iphone_IOS,299,https://static-01.daraz.pk/p/68e93cf24bb1e1d4e21299083e9f6939.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
"buy 1 get 1 free. AKG handsfree, headphones, headset, earphones with mic. best for calling gamig and listening music. AKG Handsfree - Universal AKG Handfree For All Android Devices Having 3.5mm Headphone Jack - Tuned By Samsung - PUBG AKG Earphone - Handf",339,https://pk-live-21.slatic.net/kf/S56df25007b4148a98baab34632c5cdc3f.jpg,4.545454545454546,11,N/A,"TV, Audio & Gaming",headphones-headsets
Blue Spectrum M5 Handsfree-100% Original Handsfree-High Bass Sound Quality Headphones with Built-in Microphone-Compatible for all Android & iOS Devices,170,https://static-01.daraz.pk/p/221347def20ecd060c73835969bdda1b.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
Samsung YS High Quality Sound Handfree / Handsfree / Hand free With 3.5mm Jack For All Smart Phones,220,https://static-01.daraz.pk/p/c781fe395ee54177d1a5bca194838e45.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
Best Wireless Airbuds with Touch Sensor / Earphones With Charging Case For All Mobiles,599,https://static-01.daraz.pk/p/93805c21a8c20df7695469df732e643d.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
E7S TWS Wireless Headphones Bluetooth Earphone Music Sport Headset Waterproof Mic Led Display Earphone for All Smartphone,573,https://pk-live-21.slatic.net/kf/S837cace999e14addb5eb44dd26b4becdD.jpg,2.4285714285714284,7,N/A,"TV, Audio & Gaming",headphones-headsets
"Air Pro Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices",333,https://static-01.daraz.pk/p/744a791325b3778f0ea03b6339aee996.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
Air 31 Ultrapods Pro | High-Quality Touch Sensors | True Stereo Sound | Built-in Mic | Bluetooth Wireless Earbuds | 10m Transmission Range | Crystal Clear Audio | Charging Case Included | Compatible with All Bluetooth Smart Devices | Sport Headset |Air 31,1150,https://pk-live-21.slatic.net/kf/S656594910f8746dfa947a38cad0c3a67E.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
"Apple AirPods Pro 2 Hengxuan(High Copy With Popup Msg/Locate In Find My Iphone) , Wireless Earbuds,Bluetooth Headphones Playtime Sports Ear Buds , Headset with Microphone Cordless Earphone for all Phone and Android TV ,",2590,https://static-01.daraz.pk/p/eb6f06881b972edd96bbbdc3fdb4b65d.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
M5 Magnetic Sports Bluetooth Handfree (Connect With All Bluetooth Devices).,299,https://static-01.daraz.pk/p/1c5338f98b9894456f1466a05f66a4e9.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
AirPods Pro Wireless easbuds Bluetooth in ear earphones_Earbud Headset with Mic For All Phones,699,https://static-01.daraz.pk/p/20fbcf5482abe45a7615798b857a8566.jpg,4.333333333333333,27,N/A,"TV, Audio & Gaming",headphones-headsets
E7S TWS Wireless Headphones Bluetooth earphone Control Sport Headset Waterproof Microphone Music Earphone Work On All Smartphone,1007,https://pk-live-21.slatic.net/kf/Sfc98e91496774ea58179a5f787128de8N.jpg,4.636363636363637,11,N/A,"TV, Audio & Gaming",headphones-headsets
Airpods Air Pro 3rd Gen TWS (True Wireless Stereo) Bluetooth Earbuds Dual Earphones Headset (Connect With All Bluetooth Devices).,799,https://static-01.daraz.pk/p/c4cf5192788867efa829abbc5d4fe646.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
"AKG handsfree, headphones, headset, earphones with mic. best for calling gamig and listening music. AKG Handsfree - Universal AKG Handfree For All Android Devices Having 3.5mm Headphone Jack - Tuned By Samsung - PUBG AKG Earphone - Handf",199,https://pk-live-21.slatic.net/kf/Sed9617c6baa34201976be393dbd26833q.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
Original p47 headphone Wireless Earbuds Invisible Ultra Small Bluetooth Handfree for all cell phones,699,https://static-01.daraz.pk/p/969fbb0e781504f9e095011284886aae.jpg,4.260726072607261,303,N/A,"TV, Audio & Gaming",headphones-headsets
M5 Sports Wireless Earphones Bluetooth Handsfree V5.0 Magnetic Headset High Quality Headphone for all Devices,299,https://static-01.daraz.pk/p/c57fe9c2c07fcbcdc5b39325c49d201b.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPods_Pro 2nd Gen - Airpods 3rd Gen - Airpods 2nd TWS - Wireless Earbuds Bluetooth 5.0, Enhanced Bass Sound, Single Earbud, Charging Case with Extra Ear-Buds, Pop-Up Feature, Compatible with All Devices",679,https://static-01.daraz.pk/p/f1d0a7a499538432fe6e019445beb658.jpg,4.857142857142857,7,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPods_Pro Wireless Earbuds Bluetooth 5.0, Super Sound Bass, Charging Case and Extra Ear-Buds, Pop-Up Feature Compatible with All Devices",1671,https://static-01.daraz.pk/p/5e1b5eb7e67d3ad1ae6a32aac535f54a.jpg,4.415384615384616,130,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPods Pro Wireless Earbuds Bluetooth 5.0, Super Sound Base, Charging Case and Extra Earbuds, Pop-Up Feature Compatible with All Devices",699,https://static-01.daraz.pk/p/7ae651ad8a5bcdb86fe7a633b222c552.jpg,1.0,2,N/A,"TV, Audio & Gaming",headphones-headsets
Earpod Pro Fast Pair High Quality Sound Base for All Mobile Phone,999,https://pk-live-21.slatic.net/kf/S1fabd175a49d41ad8ed85c8557461eb9b.jpg,5.0,5,N/A,"TV, Audio & Gaming",headphones-headsets
"Samsung Handsfree - Handsfree Imported , High Quality Deep. Wired headset Earphones Headphones for ALL PHONES Hands free",259,https://static-01.daraz.pk/p/823bb16f9ab7e802dbc02fcdabcaa7d7.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
Latest J18 Wirleless Airpods Touch Sensor Waterproof Bluetooth Earbuds True Stereo Headphones Built in Mic With Charging Case For All Bluetooth Devices,1397,https://static-01.daraz.pk/p/683dcab881e7c62539c869dafdb60df9.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
M10 Earbuds 3500 mah - M10 Tws Wireless Earbuds - Airpods M10 - Ear buds M10 - M10 Airpods - M 10 Earbuds - Tws Earbuds - Super Sound & Stereo Headphones Bluetooth Wireless Earbuds - Gaming airpods for all Bluetooth Smart devices,899,https://pk-live-21.slatic.net/kf/S26f749ccfa174ac08688bb519cd64532K.jpg,5.0,2,N/A,"TV, Audio & Gaming",headphones-headsets
"AirPods_Pro Wireless Earbuds Bluetooth, Super Sound Bass, Charging Case and Extra Ear-Buds, Pop-Up Feature Compatible with All Devices",3989,https://static-01.daraz.pk/p/2827c89064d83d49e4b5ce60c6a013d7.png,,,N/A,"TV, Audio & Gaming",headphones-headsets
M10 Air buds Wireless Bluetooth EarBuds Stereo Earphones with Power bank,3999,https://static-01.daraz.pk/p/948fc864b55d61590c274290de3db69f.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
I7s Wireless Mini Bluetooth Earphone Sports Wireless Earbuds With Mic Charging Box Tws for All Smart Phone,649,https://static-01.daraz.pk/p/6bf5883d82f86e0ba1d013bba24ae16c.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
C type headphones. Black color hands free. Super clear sound with amazing bass. new and stylish design. support all types of type C devices,344,https://pk-live-21.slatic.net/kf/Sa837164a29e94b099dc8b871dbf73589H.jpg,4.666666666666667,3,N/A,"TV, Audio & Gaming",headphones-headsets
Airplus & i12&i7&i16 Bluetooth Headset Earbud Single Wireless Earphone With Mic Stereo For all phones,159,https://static-01.daraz.pk/p/530b2ebdf6b6070ecbd93ee10f975fcd.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
P47 Wireless Bluetooth Foldable Headset With Microphone FOR All cell phones and laptop used,790,https://static-01.daraz.pk/p/c24637f9a039cbc28d802b44aac08a35.jpg,5.0,1,N/A,"TV, Audio & Gaming",headphones-headsets
Airpods_Pro 3rd generation Diamond Pop-Up feature Wireless Heavy Bass Earbuds with Bluetooth 5.0 TWS Compatible with All Devices,749,https://static-01.daraz.pk/p/928f44e5b158a1fb0bf829d3fb0d032a.jpg,3.0,2,N/A,"TV, Audio & Gaming",headphones-headsets
DK POWER STEREO EARPHONE BEST SOUND QUALITY COMPITABLE WITH ALL MOBILE PHONES RANGE 18-20000Hz,350,https://static-01.daraz.pk/p/7b45950e3791552c9a67bb396b3ed340.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
AirPods Pro 2 (2nd Gen) AirPods Pro 2 Premium copy price in Pakistan starts from Rs. 2599. It includes all features with great sound quality and long battery life.,2599,https://pk-live-21.slatic.net/kf/Sd45afbf9f4604248ac973cb91a1227d59.jpg,,,N/A,"TV, Audio & Gaming",headphones-headsets
Air buds Bluetooth Wireless Earbuds with Upgraded for all Smart Devices,295,https://static-01.daraz.pk/p/4536be9e28bffaf7f478f45a0e7ce96e.png,3.56,25,N/A,"TV, Audio & Gaming",headphones-headsets
"Airpro & Air 31 & M10 TWS I12 Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",299,https://static-01.daraz.pk/p/f0d25d17019021f16a87c9b6796d799a.jpg,4.012195121951219,82,N/A,"TV, Audio & Gaming",headphones-headsets
