name,price,img,rating,reviews_count,link,category,subcategory
All-In-One Coffee And Tea Maker,37999,https://static-01.daraz.pk/p/278012c28be1614d737e3698b6ba39d5.jpg,,,N/A,TV & home appliances,home-appliances
Fridge Door Rubber Seal | Refrigerator/Freezer Door Rubber Seal  [All types of models and brands],3799,https://static-01.daraz.pk/p/80810fc7a8498bddff30a5fb91577d42.jpg,,,N/A,TV & home appliances,home-appliances
Refrigerator/Freezer Door Rubber Seal  [All types of models and brands],3800,https://static-01.daraz.pk/p/80810fc7a8498bddff30a5fb91577d42.jpg,5.0,1,N/A,TV & home appliances,home-appliances
AC/DC CEILLING FAN CIRCUIT. Alkaram's best kit for all types of ACDC ceiling fans,1705,https://static-01.daraz.pk/p/0f980ba4d3f2c411f32ba3682e3f386f.png,,,N/A,TV & home appliances,home-appliances
Panasonic Food Factory All in one,17500,https://pk-live-21.slatic.net/kf/S4fd4523921ec4bcf9731165d49e34b65P.jpg,,,N/A,TV & home appliances,home-appliances
All-In-One Coffee And Tea Maker,37999,https://static-01.daraz.pk/p/278012c28be1614d737e3698b6ba39d5.jpg,,,N/A,TV & home appliances,home-appliances
Fridge Door Rubber Seal | Refrigerator/Freezer Door Rubber Seal  [All types of models and brands],3799,https://static-01.daraz.pk/p/80810fc7a8498bddff30a5fb91577d42.jpg,,,N/A,TV & home appliances,home-appliances
Refrigerator/Freezer Door Rubber Seal  [All types of models and brands],3800,https://static-01.daraz.pk/p/80810fc7a8498bddff30a5fb91577d42.jpg,5.0,1,N/A,TV & home appliances,home-appliances
AC/DC CEILLING FAN CIRCUIT. Alkaram's best kit for all types of ACDC ceiling fans,1705,https://static-01.daraz.pk/p/0f980ba4d3f2c411f32ba3682e3f386f.png,,,N/A,TV & home appliances,home-appliances
Panasonic Food Factory All in one,17500,https://pk-live-21.slatic.net/kf/S4fd4523921ec4bcf9731165d49e34b65P.jpg,,,N/A,TV & home appliances,home-appliances
Sweep Drag All In One Hand Push Type Stainless Steel Household Vacuum Cleaner,2500,https://static-01.daraz.pk/p/d5698085c0715fae1a6517a85d872386.jpg,,,N/A,TV & home appliances,home-appliances
"2-Tier Metal Water Bottle Stand with Wheels | Rolling Cart | Water Bottle Dispenser Trolley | Kitchen Trolley | Made in Pakistan | Roller.pk water cooler stand, Iron made stand ideal for all sizes of water coolers, Water cooler stand metal rack with iron",2799,https://static-01.daraz.pk/p/963d090a1db0a571ecfa1b086362a01d.jpg,,,N/A,TV & home appliances,home-appliances
Sweep Drag All In One Hand Push Type Stainless Steel Household Vacuum Cleaner,2500,https://static-01.daraz.pk/p/d5698085c0715fae1a6517a85d872386.jpg,,,N/A,TV & home appliances,home-appliances
"2-Tier Metal Water Bottle Stand with Wheels | Rolling Cart | Water Bottle Dispenser Trolley | Kitchen Trolley | Made in Pakistan | Roller.pk water cooler stand, Iron made stand ideal for all sizes of water coolers, Water cooler stand metal rack with iron",2799,https://static-01.daraz.pk/p/963d090a1db0a571ecfa1b086362a01d.jpg,,,N/A,TV & home appliances,home-appliances
HANNOVER ELECTRIC JUICER STAINLESS  STEEL  ALL TYPES OF JUICER 1800 WATTS IMPORT GERMANY,14999,https://static-01.daraz.pk/p/1ac17d9151be57d6ba354b9b6f1bc5b2.jpg,,,N/A,TV & home appliances,home-appliances
Deep Freezer Hinges Kabza All Models,1200,https://static-01.daraz.pk/p/9e3b7b1e604583aabae3eb17cc30a516.jpg,1.0,1,N/A,TV & home appliances,home-appliances
Multifunction foot kit for All models,4200,https://pk-live-21.slatic.net/kf/Sb87b97c188e44cedba81fadd4b7e46dbu.jpg,5.0,1,N/A,TV & home appliances,home-appliances
100℅ Orginal BGC LPG Composite Fiber Cylinder with Regulator All over Pakistan Free Home Delivery,13300,https://static-01.daraz.pk/p/99633134d582626b5239bee25f45d2d5.jpg,4.5,2,N/A,TV & home appliances,home-appliances
Westpoint ceramic cooker wf-142 ( all kinds of utensils can be used).                  Induction cooker-ceramic cooker- hotplate- electric stove,14000,https://pk-live-21.slatic.net/kf/Sa6ef993aea244354b73b97c25a96300fs.jpg,3.0,1,N/A,TV & home appliances,home-appliances
HANNOVER ELECTRIC JUICER STAINLESS  STEEL  ALL TYPES OF JUICER 1800 WATTS IMPORT GERMANY,14999,https://static-01.daraz.pk/p/1ac17d9151be57d6ba354b9b6f1bc5b2.jpg,,,N/A,TV & home appliances,home-appliances
Deep Freezer Hinges Kabza All Models,1200,https://static-01.daraz.pk/p/9e3b7b1e604583aabae3eb17cc30a516.jpg,1.0,1,N/A,TV & home appliances,home-appliances
Multifunction foot kit for All models,4200,https://pk-live-21.slatic.net/kf/Sb87b97c188e44cedba81fadd4b7e46dbu.jpg,5.0,1,N/A,TV & home appliances,home-appliances
100℅ Orginal BGC LPG Composite Fiber Cylinder with Regulator All over Pakistan Free Home Delivery,13300,https://static-01.daraz.pk/p/99633134d582626b5239bee25f45d2d5.jpg,4.5,2,N/A,TV & home appliances,home-appliances
Westpoint ceramic cooker wf-142 ( all kinds of utensils can be used).                  Induction cooker-ceramic cooker- hotplate- electric stove,14000,https://pk-live-21.slatic.net/kf/Sa6ef993aea244354b73b97c25a96300fs.jpg,3.0,1,N/A,TV & home appliances,home-appliances
Ro Pump head for Ro Plant Made In Taiwan Suit able All Taiwan Ro Pump,1649,https://pk-live-21.slatic.net/kf/Sa61117d6b4634c3ca1f0c5babdadaa63O.jpg,,,N/A,TV & home appliances,home-appliances
Waterproof and Dustproof All-inclusive Electric Fan Dust Cover Household Floor Fan Cover Protective Cover Stand Fan Protect Case,4238,https://static-01.daraz.pk/p/839523b8c72ef7f554307ab80eac3f9e.jpg,,,N/A,TV & home appliances,home-appliances
All-In-One Coffee And Tea Maker,37999,https://static-01.daraz.pk/p/278012c28be1614d737e3698b6ba39d5.jpg,,,N/A,TV & home appliances,home-appliances
Fridge Door Rubber Seal | Refrigerator/Freezer Door Rubber Seal  [All types of models and brands],3799,https://static-01.daraz.pk/p/80810fc7a8498bddff30a5fb91577d42.jpg,,,N/A,TV & home appliances,home-appliances
Refrigerator/Freezer Door Rubber Seal  [All types of models and brands],3800,https://static-01.daraz.pk/p/80810fc7a8498bddff30a5fb91577d42.jpg,5.0,1,N/A,TV & home appliances,home-appliances
AC/DC CEILLING FAN CIRCUIT. Alkaram's best kit for all types of ACDC ceiling fans,1705,https://static-01.daraz.pk/p/0f980ba4d3f2c411f32ba3682e3f386f.png,,,N/A,TV & home appliances,home-appliances
Ro Pump head for Ro Plant Made In Taiwan Suit able All Taiwan Ro Pump,1649,https://pk-live-21.slatic.net/kf/Sa61117d6b4634c3ca1f0c5babdadaa63O.jpg,,,N/A,TV & home appliances,home-appliances
Waterproof and Dustproof All-inclusive Electric Fan Dust Cover Household Floor Fan Cover Protective Cover Stand Fan Protect Case,4238,https://static-01.daraz.pk/p/839523b8c72ef7f554307ab80eac3f9e.jpg,,,N/A,TV & home appliances,home-appliances
