name,price,img,rating,reviews_count,link,category,subcategory
"Cafe Racer 3 Piece deal (Headlight, Backlight, Indicators) for All Bikes",899,https://pk-live-21.slatic.net/kf/S1483370532a14abea4640e792a280f49D.jpg,,,N/A,Automotive,motorcycle
"Chor switch touch lock, bike lock  for honda yamaha | bike lock for all motorcycle | Antitheft Lock for bikes/ Chor lock",1500,https://static-01.daraz.pk/p/7f7b24df58b5e441a4e855443d0d9f45.png,,,N/A,Automotive,motorcycle
Universal LED Headlight Bulb M6 with Flasher For All Motorcycles & Sports Bikes,999,https://static-01.daraz.pk/p/5d413be154fa5ab87e93f6ec12ce410b.jpg,3.0,1,N/A,Automotive,motorcycle
Cd70cc Bike Body Parts All in one Package Very Discounted price Avilable,3600,https://static-01.daraz.pk/p/15a5ebf4f000cfa28d4950aa77869420.jpg,3.0,2,N/A,Automotive,motorcycle
Bike Seat Cushion Waterproof Universal Relaxer Bike Seat Cushion and Motorcycle Seat Cover For All bikes,927,https://static-01.daraz.pk/p/955a5532e81870a1fdb65b9fef32569e.jpg,2.3333333333333335,3,N/A,Automotive,motorcycle
CD 70 Bike Parts All in one Package of 8 Items 13 parts as Shown in Picture DISCOUNTED Price Avilable Now,1800,https://pk-live-21.slatic.net/kf/Sda636761235b44a5a017102655be5335h.jpg,,,N/A,Automotive,motorcycle
safeguard for all bike,1300,https://pk-live-21.slatic.net/kf/S7d1a1118598d4f8f9e24d569a91f3d5eQ.jpg,,,N/A,Automotive,motorcycle
"Brakeshoe cd 70 , all china bikes , 125",330,https://static-01.daraz.pk/p/eae046a37b1dd7d3e64da52602c9d48c.jpg,,,N/A,Automotive,motorcycle
MOtorcycle cd dream genioun  70cc bike silencer ( fitting on all 70cc bikes ),3949,https://static-01.daraz.pk/p/0eb8471c095b1e5dc031e535dab5b987.jpg,5.0,1,N/A,Automotive,motorcycle
All the way sparks with lightning shoe soles sparks shoe covers shoe soles flint magnesium rod sparks skateboarding bike,1265,https://pk-live-21.slatic.net/kf/Sa483deb643104f8d8dfcc6b2f4752bd00.jpg,,,N/A,Automotive,motorcycle
"CNC Aluminum Alloy Fuel, Oil Filter For All Type Of Bikes.",800,https://static-01.daraz.pk/p/8817c9972b4b98dc5c3838e1cb93dcf6.png,,,N/A,Automotive,motorcycle
Atlas Honda Engine Oil 1 Litre CG125 OEM quality  gurranteed geniune for all models  also keep your ride smooth,1190,https://static-01.daraz.pk/p/071bf45020446a7c79672763eeca9278.jpg,,,N/A,Automotive,motorcycle
"Brakeshoe for cd 70 & all china bikes ,125",380,https://static-01.daraz.pk/p/2067bc57a649859b5f6237ee643b760c.jpg,,,N/A,Automotive,motorcycle
Head light beam skull for cd70 nd 125 nd all china bikes,2799,https://static-01.daraz.pk/p/86f2467c990b85ea5744b418a88455f9.jpg,4.0,3,N/A,Automotive,motorcycle
Universol Seat cover Anti slip/ water proof for all bikes (Gs150/G110/Gr150+Cg125+cd70+cb125f+cb150),1499,https://pk-live-21.slatic.net/kf/Sb06b1d2e1f6a4315a19f3e3ef04981c0E.jpg,,,N/A,Automotive,motorcycle
"Cafe Racer 3 Piece deal (Headlight, Backlight, Indicators) for All Bikes",899,https://pk-live-21.slatic.net/kf/S1483370532a14abea4640e792a280f49D.jpg,,,N/A,Automotive,motorcycle
"Chor switch touch lock, bike lock  for honda yamaha | bike lock for all motorcycle | Antitheft Lock for bikes/ Chor lock",1500,https://static-01.daraz.pk/p/7f7b24df58b5e441a4e855443d0d9f45.png,,,N/A,Automotive,motorcycle
Universal LED Headlight Bulb M6 with Flasher For All Motorcycles & Sports Bikes,999,https://static-01.daraz.pk/p/5d413be154fa5ab87e93f6ec12ce410b.jpg,3.0,1,N/A,Automotive,motorcycle
Cd70cc Bike Body Parts All in one Package Very Discounted price Avilable,3600,https://static-01.daraz.pk/p/15a5ebf4f000cfa28d4950aa77869420.jpg,3.0,2,N/A,Automotive,motorcycle
Bike Seat Cushion Waterproof Universal Relaxer Bike Seat Cushion and Motorcycle Seat Cover For All bikes,927,https://static-01.daraz.pk/p/955a5532e81870a1fdb65b9fef32569e.jpg,2.3333333333333335,3,N/A,Automotive,motorcycle
3 Pcs Lock Set (Ignition+Handle+Petrol Tank Cap) with Stylish Computer Folding Key for All 70cc Motorcycle Bike,1652,https://static-01.daraz.pk/p/9ae2fda53a8db83af6a92605df8a4b20.jpg,5.0,1,N/A,Automotive,motorcycle
BRAKE SHOES MITSUBOSHI LONG SPRING FOR ALL 70CC AND CG125,1085,https://static-01.daraz.pk/p/ff2fd247113d1b4f330722cbaccbf5f1.jpg,5.0,1,N/A,Automotive,motorcycle
"Ignition switch available for Yamaha ybr 125, Good quality, Chinese imported,
Available for all Yamaha models",1300,https://pk-live-21.slatic.net/kf/S9e4758cc9e28474c90c961a1e6ece453Q.jpg,,,N/A,Automotive,motorcycle
Shock Pump CD100 Pridor for all model Best working Guaranteed | Sooper Fine Best Quality,2549,https://pk-live-21.slatic.net/kf/S82d0baaf8e8147308a9f7e85dc56baa3S.jpg,5.0,1,N/A,Automotive,motorcycle
CD70 or 125 Remote kit Security Alarm ⏰ system for all Motorcycle,1899,https://pk-live-21.slatic.net/kf/S9f1ea03b71ba4108a988278336a54ed80.jpg,5.0,2,N/A,Automotive,motorcycle
bike tank cap for CD 70 MOTORCYCLE TANKY CAP WITH GOOD AND NEW CONDITION 70CC FUEL TANK CAP FOR MOTORCYCLE  PETROL TANK CAP FOR BIKE ALL 70CC MOTORCYCLE,500,https://static-01.daraz.pk/p/3399f8cf98fcac9e2a6e451fb5a48021.jpg,1.0,1,N/A,Automotive,motorcycle
3 Pcs Lock Set (Ignition+Handle+Petrol Tank Cap) with Stylish Computer Folding Key for All 70cc Motorcycle Bike,1652,https://static-01.daraz.pk/p/9ae2fda53a8db83af6a92605df8a4b20.jpg,5.0,1,N/A,Automotive,motorcycle
BRAKE SHOES MITSUBOSHI LONG SPRING FOR ALL 70CC AND CG125,1085,https://static-01.daraz.pk/p/ff2fd247113d1b4f330722cbaccbf5f1.jpg,5.0,1,N/A,Automotive,motorcycle
"Ignition switch available for Yamaha ybr 125, Good quality, Chinese imported,
Available for all Yamaha models",1300,https://pk-live-21.slatic.net/kf/S9e4758cc9e28474c90c961a1e6ece453Q.jpg,,,N/A,Automotive,motorcycle
Shock Pump CD100 Pridor for all model Best working Guaranteed | Sooper Fine Best Quality,2549,https://pk-live-21.slatic.net/kf/S82d0baaf8e8147308a9f7e85dc56baa3S.jpg,5.0,1,N/A,Automotive,motorcycle
CD70 or 125 Remote kit Security Alarm ⏰ system for all Motorcycle,1899,https://pk-live-21.slatic.net/kf/S9f1ea03b71ba4108a988278336a54ed80.jpg,5.0,2,N/A,Automotive,motorcycle
bike tank cap for CD 70 MOTORCYCLE TANKY CAP WITH GOOD AND NEW CONDITION 70CC FUEL TANK CAP FOR MOTORCYCLE  PETROL TANK CAP FOR BIKE ALL 70CC MOTORCYCLE,500,https://static-01.daraz.pk/p/3399f8cf98fcac9e2a6e451fb5a48021.jpg,1.0,1,N/A,Automotive,motorcycle
Motorcycle  Assembly grip set chorome for all bikes ( cg125self +cd70cc/ suzuki /ybr /Honda all models),4399,https://pk-live-21.slatic.net/kf/S6045b71fbe834c58a6ee266edc105c4dG.jpg,5.0,1,N/A,Automotive,motorcycle
Elbow and Knee Guard Protector Pads Armor For All Motorcycle Bike | Knee & Shin Protection | Elbow Protection,4500,https://static-01.daraz.pk/p/c7146ba41788eff72142d87a1ef3cef4.jpg,,,N/A,Automotive,motorcycle
Bike tank Cover fancy black colour Fancy apple design For All Bike Fitting,340,https://pk-live-21.slatic.net/kf/Se4e0b6af4c924cb0b509a1d7dca992e2X.jpg,3.0,3,N/A,Automotive,motorcycle
Universal M6 LED Headlight bulb For all Motorcycles,1100,https://pk-live-21.slatic.net/kf/S4c3b37f4321e4ae2b9f4a3bb23304973l.jpg,5.0,1,N/A,Automotive,motorcycle
bike fire kit with flames all bikes,349,https://pk-live-21.slatic.net/kf/Sb112b7cef8fa46a9930ec970723bed57j.jpg,3.6666666666666665,3,N/A,Automotive,motorcycle
Complete Headlight 70cc for all Bikes Superior quality,550,https://static-01.daraz.pk/p/ad7d8791c8071d4b1173221561cc593c.jpg,5.0,2,N/A,Automotive,motorcycle
CD 70 Bike Parts All in one Package of 8 Items 13 parts as Shown in Picture DISCOUNTED Price Avilable Now,1800,https://pk-live-21.slatic.net/kf/Sda636761235b44a5a017102655be5335h.jpg,,,N/A,Automotive,motorcycle
safeguard for all bike,1300,https://pk-live-21.slatic.net/kf/S7d1a1118598d4f8f9e24d569a91f3d5eQ.jpg,,,N/A,Automotive,motorcycle
"Brakeshoe cd 70 , all china bikes , 125",330,https://static-01.daraz.pk/p/eae046a37b1dd7d3e64da52602c9d48c.jpg,,,N/A,Automotive,motorcycle
MOtorcycle cd dream genioun  70cc bike silencer ( fitting on all 70cc bikes ),3949,https://static-01.daraz.pk/p/0eb8471c095b1e5dc031e535dab5b987.jpg,5.0,1,N/A,Automotive,motorcycle
All the way sparks with lightning shoe soles sparks shoe covers shoe soles flint magnesium rod sparks skateboarding bike,1265,https://pk-live-21.slatic.net/kf/Sa483deb643104f8d8dfcc6b2f4752bd00.jpg,,,N/A,Automotive,motorcycle
"CNC Aluminum Alloy Fuel, Oil Filter For All Type Of Bikes.",800,https://static-01.daraz.pk/p/8817c9972b4b98dc5c3838e1cb93dcf6.png,,,N/A,Automotive,motorcycle
Atlas Honda Engine Oil 1 Litre CG125 OEM quality  gurranteed geniune for all models  also keep your ride smooth,1190,https://static-01.daraz.pk/p/071bf45020446a7c79672763eeca9278.jpg,,,N/A,Automotive,motorcycle
"Brakeshoe for cd 70 & all china bikes ,125",380,https://static-01.daraz.pk/p/2067bc57a649859b5f6237ee643b760c.jpg,,,N/A,Automotive,motorcycle
Cafe racer bike seat with complete fitting high quality for all bikes cd70cc& 125cc,1899,https://pk-live-21.slatic.net/kf/S12aee791cb0f43acbb2d6b3b6948071eV.jpg,,,N/A,Automotive,motorcycle
Ybr Engine Protector Yamaha Sticker Kit Black for YBR ALL MODELS,222,https://static-01.daraz.pk/p/788866506e4fee5d213897c6c0255dca.jpg,5.0,1,N/A,Automotive,motorcycle
70cc Bike Led Meter And All Use China Bikes,999,https://pk-live-21.slatic.net/kf/S60f77468e4c04319b6c139c0a5e0a6e9Z.jpg,,,N/A,Automotive,motorcycle
Road Prince Genuine Spark Plug. All types of 70cc bikes.,400,https://pk-live-21.slatic.net/kf/Se10e9432cf2a4f55802aeeefe2baad53k.jpg,,,N/A,Automotive,motorcycle
3piece lock set standard quality for cd70 Honda and all China 70cc ignition handle and fuel lock standard quality,950,https://static-01.daraz.pk/p/ee7e6cdf2dbbe147bcb0d06e26424723.jpg,3.7857142857142856,14,N/A,Automotive,motorcycle
Cafe racer bike seat with complete fitting high quality for all bikes cd70cc& 125cc,1899,https://pk-live-21.slatic.net/kf/S12aee791cb0f43acbb2d6b3b6948071eV.jpg,,,N/A,Automotive,motorcycle
Motorcycle duel colours Led projector lens  bulb H4/Ba20d for all bikes ( suzuki /ybr /Honda cd100 cc/ 3000k to 6000k ),999,https://pk-live-21.slatic.net/kf/S93a3c665c5af4e54b6a9c559bd35d9a9a.jpg,,,N/A,Automotive,motorcycle
Head light beam skull for cd70 nd 125 nd all china bikes,2799,https://static-01.daraz.pk/p/86f2467c990b85ea5744b418a88455f9.jpg,4.0,3,N/A,Automotive,motorcycle
Universol Seat cover Anti slip/ water proof for all bikes (Gs150/G110/Gr150+Cg125+cd70+cb125f+cb150),1499,https://pk-live-21.slatic.net/kf/Sb06b1d2e1f6a4315a19f3e3ef04981c0E.jpg,,,N/A,Automotive,motorcycle
Side Cover CD100 | Taapy CD100 Available All models & Colour Good Quality not Genuine,1560,https://pk-live-21.slatic.net/kf/S426f35fd5f124b5da66c4208489aab6e9.jpg,1.0,1,N/A,Automotive,motorcycle
Ybr Engine Protector Yamaha Sticker Kit Black for YBR ALL MODELS,222,https://static-01.daraz.pk/p/788866506e4fee5d213897c6c0255dca.jpg,5.0,1,N/A,Automotive,motorcycle
70cc Bike Led Meter And All Use China Bikes,999,https://pk-live-21.slatic.net/kf/S60f77468e4c04319b6c139c0a5e0a6e9Z.jpg,,,N/A,Automotive,motorcycle
Motorcycle 4 colour headlight Led bulb wd motorway light functions ( fit in all cd70cc nd cg125 bikes ),720,https://pk-live-21.slatic.net/kf/Sf38aee4d128349a8ae4a45b70190749eV.jpg,5.0,1,N/A,Automotive,motorcycle
Bike seat cover all CD70 or 125 good look full black with 2 pocket |bike cover,349,https://pk-live-21.slatic.net/kf/S5ace28811c444967a298efef2559cce6W.jpg,1.0,1,N/A,Automotive,motorcycle
CANBUS AS85 PRO HIGH -POWER LED 850W (GIRPS H11 H4 9005) All cars,14500,https://pk-live-21.slatic.net/kf/Scaa7da5bd8ed4c8784468f9c40e310dcM.jpg,,,N/A,Automotive,motorcycle
Universal M3 Motorbike Led Headlight Bulb Three Colour Flash With Fan For All Bikes,1399,https://pk-live-21.slatic.net/kf/S2330addc03734ea085a8ec7a46bc811fZ.jpg,,,N/A,Automotive,motorcycle
Handle Drip For All Bike's Universal Fitting,799,https://pk-live-21.slatic.net/kf/Sd78ceba1fc4c4f9bb98f9bbe374fef6ef.jpg,5.0,1,N/A,Automotive,motorcycle
Motoled M6 white headlight with flash for all bikes and cars it has also three function|Led Light|Bike led light|Car led light,1000,https://static-01.daraz.pk/p/479709eab25e68cffe76b41fd0eb5fe6.png,,,N/A,Automotive,motorcycle
Motorcycle  Assembly grip set chorome for all bikes ( cg125self +cd70cc/ suzuki /ybr /Honda all models),4399,https://pk-live-21.slatic.net/kf/S6045b71fbe834c58a6ee266edc105c4dG.jpg,5.0,1,N/A,Automotive,motorcycle
Elbow and Knee Guard Protector Pads Armor For All Motorcycle Bike | Knee & Shin Protection | Elbow Protection,4500,https://static-01.daraz.pk/p/c7146ba41788eff72142d87a1ef3cef4.jpg,,,N/A,Automotive,motorcycle
Bike tank Cover fancy black colour Fancy apple design For All Bike Fitting,340,https://pk-live-21.slatic.net/kf/Se4e0b6af4c924cb0b509a1d7dca992e2X.jpg,3.0,3,N/A,Automotive,motorcycle
Universal M6 LED Headlight bulb For all Motorcycles,1100,https://pk-live-21.slatic.net/kf/S4c3b37f4321e4ae2b9f4a3bb23304973l.jpg,5.0,1,N/A,Automotive,motorcycle
bike fire kit with flames all bikes,349,https://pk-live-21.slatic.net/kf/Sb112b7cef8fa46a9930ec970723bed57j.jpg,3.6666666666666665,3,N/A,Automotive,motorcycle
Complete Headlight 70cc for all Bikes Superior quality,550,https://static-01.daraz.pk/p/ad7d8791c8071d4b1173221561cc593c.jpg,5.0,2,N/A,Automotive,motorcycle
Motorcycle duel colours Led projector lens  bulb H4/Ba20d for all bikes ( suzuki /ybr /Honda cd100 cc/ 3000k to 6000k ),999,https://pk-live-21.slatic.net/kf/S93a3c665c5af4e54b6a9c559bd35d9a9a.jpg,,,N/A,Automotive,motorcycle
customise monogram front led universal for all bikes high quality product with nut bolts,199,https://static-01.daraz.pk/p/0b87ae7fcf552d78c45531612be42ba5.jpg,,,N/A,Automotive,motorcycle
RACE CABLE FOR CD 70 THROAT CABLE RACING CABLE ACCELATOR CABLE AKCELETOR CABLE FOR ALL CD 70 MOTORCYCLE,250,https://static-01.daraz.pk/p/3c4ed5a758306d7e31328c9c531a88c4.jpg,,,N/A,Automotive,motorcycle
