name,price,img,rating,reviews_count,link,category,subcategory
"WEDDING OFFER, PACK OF 4, Tri Tone Series, Soft Colored Contact Lenses / Cosmetics Lenses / Fashion Lenses / Eye Lenses, All Colors are Available, Natural Look, High Quality, You Chose Any 4 Colors Or Pairs & Send Name Of Colors to Inbox",1599,https://pk-live-21.slatic.net/kf/S737592e65f2a4554b8701b28f3a66526C.jpg,,,N/A,health & beauty,personal-care
"WEDDING OFFER, PACK OF 4, Hydrocor Series, Soft Colored Contact Lenses / Cosmetics Lenses / Fashion Lenses / Eye Lenses, All Colors are Available, Natural Look, High Quality, You Chose Any 4 Colors Or Pairs & Send Name Of Colors to Inbox",1295,https://pk-live-21.slatic.net/kf/S273530cf566348b0acebd1c6ce5216fcR.jpg,,,N/A,health & beauty,personal-care
"WEDDING OFFER, PACK OF 4, Hydrocor Series, Soft Colored Contact Lenses / Cosmetics Lenses / Fashion Lenses / Eye Lenses, All Colors are Available, Natural Look, High Quality, You Chose Any 4 Colors Or Pairs & Send Name Of Colors to Inbox",1599,https://pk-live-21.slatic.net/kf/Sbb57e8818d304af0b51fda71913a303cF.jpg,,,N/A,health & beauty,personal-care
GDT Orthodontic Micro-implants (all sizes),1450,https://static-01.daraz.pk/p/8ef4682117bd183419dc84e98d573c81.jpg,,,N/A,health & beauty,personal-care
"""LINTA"" Soft Lenses / Eye Lenses / Clear Lenses / Transparent Lenses, Using Period 1 Year Lenses All powers are Available With Free Starter Kit",999,https://pk-live-21.slatic.net/kf/S60a45dfaca704854aa8882900545f1584.jpg,1.0,1,N/A,health & beauty,personal-care
BLESSO FACIAL KIT WHITENING MASSAGE CREAM HERBAL Wik FOR ALL SEN TYPES WHITENING FRUITY MASSAGE CREAM FACIAL HERBAL WHITENING SCRUB APRICOT WHITENING URGENT FACIAL WHITENING TION CLEANSER,1649,https://pk-live-21.slatic.net/kf/S27ca78d245174af5bf54cdfc8f3e7822c.jpg,,,N/A,health & beauty,personal-care
"Soft Colored Contact Lenses / Eye Lenses / Fashion Lenses / Cosmetics Lenses, All Colors are Available, Natural Look, Original Color, Good Quality, 6 Month Use, With FREE Starter Kit",499,https://pk-live-21.slatic.net/kf/S8da8359b129842158334e8b54570ae11n.jpg,,,N/A,health & beauty,personal-care
Colored Contact Lenses / Cosmetics Lenses / Eye Lenses / Fashion Lenses With STARTER kit FREE all colors are available,499,https://pk-live-21.slatic.net/kf/Sfdf581091c4a473a873fef38ff95bbd8H.jpg,,,N/A,health & beauty,personal-care
Eyesight Power Lenses | All eye sight Contact Lenses Number and Color Available,1240,https://static-01.daraz.pk/p/6bc6e3bd22ead9e5bab9a82caba7dd36.jpg,,,N/A,health & beauty,personal-care
"POCKET DEALS HIGH QUALITY 10000 Bristle Micro  Nano Toothbrush for all kinds of Sensitive Teeth and Gums Care, Super Extra Soft  Silko Toothbrush for Baby, Adults and People with Braces",170,https://static-01.daraz.pk/p/5d5b614c60cd7d1051aa1b30cb964565.jpg,,,N/A,health & beauty,personal-care
