name,price,img,rating,reviews_count,link,category,subcategory
Premium Ultra 7 in 1 Smart watch set - High Quality All smart watch - 49 MM BT Calling Sports Mode Fitness 7 Belt With Smart Watch for Men & Women Smartwatch (Multicolor Strap) - With 7 in 1 Accessories  - Series Watch - With 7 Different Kinds Of Straps,2599,https://pk-live-21.slatic.net/kf/Sd8a48042c93640eb9cecef5ab9c92899y.jpg,5.0,3,N/A,Electronic devices,smart-watches
Original Z59 Ultra Smartwatch Series 8 Ultra 49mm Always On Display NFC & Siriii Same Icons As Orignal Version ip68 waterproof With Two Straps Long Battery Life For All Mobiles,5999,https://static-01.daraz.pk/p/ab81c277ce0402fad4bb5e3770f2d189.jpg,,,N/A,Electronic devices,smart-watches
smart watch 7 STRAPS Ultra Smart Watch T800 ULTRA SMARTWATCH 1.99 inch The Smart Watch That Does It All Calls Texts Music Fitness Tracking and More (T800 Black ) Waterproof Wireless Charging,1350,https://static-01.daraz.pk/p/6f2f62ff5f986ee16921f8c6b5ebe2b6.jpg,,,N/A,Electronic devices,smart-watches
Premium Ultra 7 in 1 Smart watch set - High Quality All smart watch - 49 MM BT Calling Sports Mode Fitness 7 Belt With Smart Watch for Men & Women Smartwatch (Multicolor Strap) - With 7 in 1 Accessories  - Series Watch - With 7 Different Kinds Of Straps,2599,https://pk-live-21.slatic.net/kf/Sd8a48042c93640eb9cecef5ab9c92899y.jpg,5.0,3,N/A,Electronic devices,smart-watches
Original Z59 Ultra Smartwatch Series 8 Ultra 49mm Always On Display NFC & Siriii Same Icons As Orignal Version ip68 waterproof With Two Straps Long Battery Life For All Mobiles,5999,https://static-01.daraz.pk/p/ab81c277ce0402fad4bb5e3770f2d189.jpg,,,N/A,Electronic devices,smart-watches
smart watch 7 STRAPS Ultra Smart Watch T800 ULTRA SMARTWATCH 1.99 inch The Smart Watch That Does It All Calls Texts Music Fitness Tracking and More (T800 Black ) Waterproof Wireless Charging,1350,https://static-01.daraz.pk/p/6f2f62ff5f986ee16921f8c6b5ebe2b6.jpg,,,N/A,Electronic devices,smart-watches
N9 Max Smart Watch | Stainless Steel | 3 Straps | For Men and Women | 2.02'' HD IPS Display | BT calling & all Fitness Tracking Features,3499,https://static-01.daraz.pk/p/68edd3515a7ec31ca09cfe868b186a99.jpg,,,N/A,Electronic devices,smart-watches
N9 Max Smart Watch | Stainless Steel | 3 Straps | For Men and Women | 2.02'' HD IPS Display | BT calling & all Fitness Tracking Features,3499,https://static-01.daraz.pk/p/68edd3515a7ec31ca09cfe868b186a99.jpg,,,N/A,Electronic devices,smart-watches
[autismaut] Applicable to Amazfit Sports Watch Protective Case Mi Dong amazfit bip Youth Edition Electroplating tpu All-Inclusive Case,3586,https://static-01.daraz.pk/p/bc880f47d5642e2c276646244ad6208d.jpg,,,N/A,Electronic devices,smart-watches
i7 Pro Smart Watch with Magnetic Straps - Series 7 Pro Smart Watch - Bluetooth Calling - All Fitness Tracking Features,4799,https://static-01.daraz.pk/p/755b48cde232f0b0b4397bb5b3565cf5.jpg,5.0,1,N/A,Electronic devices,smart-watches
