name,price,img,rating,reviews_count,link,category,subcategory
Make Your Own Unif Stich Bag By using all these accessories,2000,https://static-01.daraz.pk/p/7d087e7c32e69870c8ab538a894486dc.jpg,1.0,1,N/A,Home & Lifestyle,stationery-craft
"Ideal Stationary Pack Set Parents, Teachers and Kids in School, College And Offices Contain all Essential Quality Items - Best Quality Material",779,https://static-01.daraz.pk/p/ce4dc523390d7f75021ff14fde9ec5db.jpg,,,N/A,Home & Lifestyle,stationery-craft
"Alphabetical keychains for girls and boys both letter W ,All letters are available A-Z",950,https://pk-live-21.slatic.net/kf/S305b356429994cfeaf946e93b5d61d53F.jpg,,,N/A,Home & Lifestyle,stationery-craft
Make Your Own Unif Stich Bag By using all these accessories,2000,https://static-01.daraz.pk/p/7d087e7c32e69870c8ab538a894486dc.jpg,1.0,1,N/A,Home & Lifestyle,stationery-craft
Make Your Own Unif Stich Bag By using all these accessories,2000,https://static-01.daraz.pk/p/7d087e7c32e69870c8ab538a894486dc.jpg,1.0,1,N/A,Home & Lifestyle,stationery-craft
"Men's Gift Sets 6 in 1 | Gift For Boys Gift Box For Men , Pair of Watch , Perfume , wallet , Belt , Glasses , keychain , Pen for boys , Husband , Best Friend , Brother , Father | Birthday Wedding Engagement Anniversary Eid Gift For all occasion",5999,https://static-01.daraz.pk/p/70577b52d37b1dfe477a112164775c52.jpg,5.0,2,N/A,Home & Lifestyle,stationery-craft
"Ideal Stationary Pack Set Parents, Teachers and Kids in School, College And Offices Contain all Essential Quality Items - Best Quality Material",779,https://static-01.daraz.pk/p/ce4dc523390d7f75021ff14fde9ec5db.jpg,,,N/A,Home & Lifestyle,stationery-craft
"Alphabetical keychains for girls and boys both letter W ,All letters are available A-Z",950,https://pk-live-21.slatic.net/kf/S305b356429994cfeaf946e93b5d61d53F.jpg,,,N/A,Home & Lifestyle,stationery-craft
"Ideal Stationary Pack Set Parents, Teachers and Kids in School, College And Offices Contain all Essential Quality Items - Best Quality Material",779,https://static-01.daraz.pk/p/ce4dc523390d7f75021ff14fde9ec5db.jpg,,,N/A,Home & Lifestyle,stationery-craft
"Alphabetical keychains for girls and boys both letter W ,All letters are available A-Z",950,https://pk-live-21.slatic.net/kf/S305b356429994cfeaf946e93b5d61d53F.jpg,,,N/A,Home & Lifestyle,stationery-craft
All-in-one Wooden Yarn Bowl Crochet Organizer Storage Holder DIY Wooden Yarn Dispenser Knitting Bowl For Knitting Crochet Skeins,1635,https://pk-live-21.slatic.net/kf/S769f165281174fd9bf9cb2059650f004w.jpg,5.0,2,N/A,Home & Lifestyle,stationery-craft
MATH For Class 9th | For All KPK Boards | Guide Book | Key Book | Notes | Nayab Publishers  ,310,https://static-01.daraz.pk/p/66f63a8d379421a6ceb6397b1f0c7a3e.jpg,,,N/A,Home & Lifestyle,stationery-craft
"BTS Music Photocards for all BTS member | Jungkook, Jimin, V, Jin, Suga, RM and J-Hope",249,https://static-01.daraz.pk/p/c692fc110faf7e0c2bf396e9c80dbb1d.jpg,,,N/A,Home & Lifestyle,stationery-craft
100pcs Sewing Needles DBX1 Suitable For All Brand Industrial Lockstitch Sewing Machine Singer 9#11#12# 14#16#18#Various Models,1045,https://pk-live-21.slatic.net/kf/Sc5b943fc6b054deaae2306416aa95858c.jpg,,,N/A,Home & Lifestyle,stationery-craft
"Men's Gift Sets 6 in 1 | Gift For Boys Gift Box For Men , Pair of Watch , Perfume , wallet , Belt , Glasses , keychain , Pen for boys , Husband , Best Friend , Brother , Father | Birthday Wedding Engagement Anniversary Eid Gift For all occasion",5999,https://static-01.daraz.pk/p/70577b52d37b1dfe477a112164775c52.jpg,5.0,2,N/A,Home & Lifestyle,stationery-craft
All-in-one Wooden Yarn Bowl Crochet Organizer Storage Holder DIY Wooden Yarn Dispenser Knitting Bowl For Knitting Crochet Skeins,1635,https://pk-live-21.slatic.net/kf/S769f165281174fd9bf9cb2059650f004w.jpg,5.0,2,N/A,Home & Lifestyle,stationery-craft
MATH For Class 9th | For All KPK Boards | Guide Book | Key Book | Notes | Nayab Publishers  ,310,https://static-01.daraz.pk/p/66f63a8d379421a6ceb6397b1f0c7a3e.jpg,,,N/A,Home & Lifestyle,stationery-craft
